Time,Orlando,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: W. Carter vs. B. Adebayo (J. Suggs gains possession),0-0,,,1,0,0,0,0.0
11:36.0,Turnover by F. Wagner (bad pass),0-0, ,,1,0,0,0,24.0
11:12.0, ,0-3,C. Martin makes 3-pt jump shot from 23 ft (assist by T. Rozier),,1,3,0,3,48.0
10:57.0,M. Fultz misses 2-pt hook shot from 6 ft,0-3, ,,1,3,0,3,63.0
10:56.0, ,0-3,Defensive rebound by J. Butler,,1,3,0,3,64.0
10:43.0, ,0-3,T. Herro misses 2-pt jump shot from 13 ft,,1,3,0,3,77.0
10:39.0, ,0-3,Offensive rebound by B. Adebayo,,1,3,0,3,81.0
10:33.0, ,0-5,B. Adebayo makes 2-pt dunk from 4 ft (assist by T. Herro),,1,5,0,5,87.0
10:15.0,J. Suggs misses 2-pt layup from 3 ft,0-5, ,,1,5,0,5,105.0
10:11.0, ,0-5,Defensive rebound by J. Butler,,1,5,0,5,109.0
10:09.0, ,0-7,C. Martin makes 2-pt jump shot from 21 ft (assist by J. Butler),,1,7,0,7,111.0
9:48.0,Turnover by F. Wagner (bad pass; steal by J. Butler),0-7, ,,1,7,0,7,132.0
9:43.0, ,0-7,Turnover by J. Butler (bad pass; steal by P. Banchero),,1,7,0,7,137.0
9:39.0,Turnover by P. Banchero (lost ball; steal by C. Martin),0-7, ,,1,7,0,7,141.0
9:27.0, ,0-7,T. Rozier misses 2-pt jump shot from 8 ft,,1,7,0,7,153.0
9:25.0,Defensive rebound by F. Wagner,0-7, ,,1,7,0,7,155.0
9:20.0,P. Banchero makes 2-pt dunk from 3 ft (assist by F. Wagner),2-7, ,,1,7,2,5,160.0
8:56.0, ,2-7,J. Butler misses 3-pt jump shot from 23 ft,,1,7,2,5,184.0
8:52.0,Defensive rebound by J. Suggs,2-7, ,,1,7,2,5,188.0
8:48.0,W. Carter misses 2-pt jump shot from 16 ft,2-7, ,,1,7,2,5,192.0
8:44.0, ,2-7,Defensive rebound by T. Herro,,1,7,2,5,196.0
8:37.0, ,2-9,T. Herro makes 2-pt layup from 5 ft,,1,9,2,7,203.0
8:23.0,Turnover by F. Wagner (out of bounds lost ball),2-9, ,,1,9,2,7,217.0
8:09.0, ,2-9,B. Adebayo misses 2-pt dunk from 2 ft,,1,9,2,7,231.0
8:07.0,Defensive rebound by P. Banchero,2-9, ,,1,9,2,7,233.0
7:54.0,P. Banchero misses 3-pt jump shot from 27 ft,2-9, ,,1,9,2,7,246.0
7:51.0, ,2-9,Defensive rebound by J. Butler,,1,9,2,7,249.0
7:49.0, ,2-11,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Herro),,1,11,2,9,251.0
7:48.0,Orlando full timeout,2-11, ,,1,11,2,9,252.0
7:35.0,J. Suggs misses 3-pt jump shot from 26 ft,2-11, ,,1,11,2,9,265.0
7:30.0, ,2-11,Defensive rebound by B. Adebayo,,1,11,2,9,270.0
7:15.0, ,2-11,B. Adebayo misses 2-pt jump shot from 9 ft,,1,11,2,9,285.0
7:13.0,Defensive rebound by F. Wagner,2-11, ,,1,11,2,9,287.0
6:57.0,M. Fultz misses 2-pt jump shot from 4 ft,2-11, ,,1,11,2,9,303.0
6:55.0, ,2-11,Defensive rebound by C. Martin,,1,11,2,9,305.0
6:49.0, ,2-11,Turnover by T. Herro (bad pass; steal by F. Wagner),,1,11,2,9,311.0
6:45.0,Shooting foul by B. Adebayo (drawn by P. Banchero),2-11, ,,1,11,2,9,315.0
6:45.0,P. Banchero misses free throw 1 of 2,2-11, ,,1,11,2,9,315.0
6:45.0,Offensive rebound by Team,2-11, ,,1,11,2,9,315.0
6:45.0,P. Banchero misses free throw 2 of 2,2-11, ,,1,11,2,9,315.0
6:42.0, ,2-11,Defensive rebound by T. Herro,,1,11,2,9,318.0
6:31.0, ,2-11,Shooting foul by W. Carter (drawn by J. Butler),,1,11,2,9,329.0
6:31.0, ,2-12,J. Butler makes free throw 1 of 2,,1,12,2,10,329.0
6:31.0, ,2-13,J. Butler makes free throw 2 of 2,,1,13,2,11,329.0
6:10.0,W. Carter makes 2-pt jump shot from 7 ft (assist by M. Fultz),4-13, ,,1,13,4,9,350.0
5:58.0, ,4-16,T. Rozier makes 3-pt jump shot from 25 ft (assist by J. Butler),,1,16,4,12,362.0
5:42.0,F. Wagner misses 3-pt jump shot from 24 ft,4-16, ,,1,16,4,12,378.0
5:39.0, ,4-16,Defensive rebound by B. Adebayo,,1,16,4,12,381.0
5:33.0, ,4-16,Turnover by J. Butler (bad pass),,1,16,4,12,387.0
5:33.0,J. Ingles enters the game for F. Wagner,4-16, ,,1,16,4,12,387.0
5:33.0, ,4-16,J. Jaquez enters the game for J. Butler,,1,16,4,12,387.0
5:12.0,P. Banchero makes 2-pt dunk from 4 ft (assist by W. Carter),6-16, ,,1,16,6,10,408.0
4:59.0, ,6-18,T. Herro makes 2-pt layup from 4 ft (assist by B. Adebayo),,1,18,6,12,421.0
4:46.0,P. Banchero misses 2-pt jump shot from 11 ft,6-18, ,,1,18,6,12,434.0
4:44.0, ,6-18,Defensive rebound by B. Adebayo,,1,18,6,12,436.0
4:38.0, ,6-18,T. Rozier misses 2-pt layup from 4 ft,,1,18,6,12,442.0
4:38.0,Defensive rebound by W. Carter,6-18, ,,1,18,6,12,442.0
4:23.0,M. Fultz makes 3-pt jump shot from 23 ft (assist by J. Suggs),9-18, ,,1,18,9,9,457.0
4:21.0, ,9-18,Miami full timeout,,1,18,9,9,459.0
4:05.0, ,9-18,T. Herro misses 2-pt jump shot from 9 ft,,1,18,9,9,475.0
4:02.0,Defensive rebound by W. Carter,9-18, ,,1,18,9,9,478.0
3:58.0,M. Fultz makes 2-pt layup from 4 ft (assist by J. Suggs),11-18, ,,1,18,11,7,482.0
3:52.0, ,11-18,Shooting foul by J. Suggs (drawn by T. Rozier),,1,18,11,7,488.0
3:52.0, ,11-19,T. Rozier makes free throw 1 of 2,,1,19,11,8,488.0
3:52.0, ,11-20,T. Rozier makes free throw 2 of 2,,1,20,11,9,488.0
3:39.0,Personal foul by J. Jaquez (drawn by P. Banchero),11-20, ,,1,20,11,9,501.0
3:39.0,M. Wagner enters the game for W. Carter,11-20, ,,1,20,11,9,501.0
3:39.0, ,11-20,J. Butler enters the game for B. Adebayo,,1,20,11,9,501.0
3:39.0, ,11-20,K. Love enters the game for T. Herro,,1,20,11,9,501.0
3:39.0, ,11-20,J. Richardson enters the game for C. Martin,,1,20,11,9,501.0
3:39.0, ,11-20,D. Robinson enters the game for T. Rozier,,1,20,11,9,501.0
3:24.0,J. Suggs misses 3-pt jump shot from 27 ft,11-20, ,,1,20,11,9,516.0
3:20.0,Offensive rebound by M. Wagner,11-20, ,,1,20,11,9,520.0
3:18.0,J. Suggs misses 3-pt jump shot from 25 ft,11-20, ,,1,20,11,9,522.0
3:14.0, ,11-20,Defensive rebound by J. Jaquez,,1,20,11,9,526.0
3:02.0, ,11-20,D. Robinson misses 3-pt jump shot from 23 ft,,1,20,11,9,538.0
3:00.0,Defensive rebound by P. Banchero,11-20, ,,1,20,11,9,540.0
2:50.0,J. Ingles makes 3-pt jump shot from 26 ft (assist by P. Banchero),14-20, ,,1,20,14,6,550.0
2:33.0, ,14-20,K. Love misses 3-pt jump shot from 25 ft,,1,20,14,6,567.0
2:31.0,Defensive rebound by J. Ingles,14-20, ,,1,20,14,6,569.0
2:22.0,M. Wagner misses 2-pt layup from 6 ft,14-20, ,,1,20,14,6,578.0
2:20.0,Offensive rebound by M. Wagner,14-20, ,,1,20,14,6,580.0
2:20.0,Shooting foul by K. Love (drawn by M. Wagner),14-20, ,,1,20,14,6,580.0
2:20.0,G. Harris enters the game for J. Suggs,14-20, ,,1,20,14,6,580.0
2:20.0,M. Wagner makes free throw 1 of 2,15-20, ,,1,20,15,5,580.0
2:20.0,M. Wagner misses free throw 2 of 2,15-20, ,,1,20,15,5,580.0
2:13.0, ,15-20,Defensive rebound by J. Richardson,,1,20,15,5,587.0
2:07.0, ,15-20,Turnover by J. Jaquez (bad pass; steal by M. Fultz),,1,20,15,5,593.0
2:01.0,M. Fultz makes 2-pt layup from 4 ft (assist by P. Banchero),17-20, ,,1,20,17,3,599.0
1:42.0, ,17-22,J. Jaquez makes 2-pt layup from 3 ft (assist by J. Butler),,1,22,17,5,618.0
1:34.0,J. Ingles misses 3-pt jump shot from 22 ft,17-22, ,,1,22,17,5,626.0
1:34.0,Offensive rebound by G. Harris,17-22, ,,1,22,17,5,626.0
1:30.0,Offensive foul by M. Wagner (drawn by K. Love),17-22, ,,1,22,17,5,630.0
1:30.0,Turnover by M. Wagner (offensive foul),17-22, ,,1,22,17,5,630.0
1:30.0,Orlando full timeout,17-22, ,,1,22,17,5,630.0
1:30.0,Instant Replay (Challenge: Ruling Stands),17-22, ,,1,22,17,5,630.0
1:15.0, ,17-22,K. Love misses 3-pt jump shot from 25 ft,,1,22,17,5,645.0
1:12.0, ,17-22,Offensive rebound by J. Jaquez,,1,22,17,5,648.0
1:09.0, ,17-22,J. Butler misses 3-pt jump shot from 25 ft,,1,22,17,5,651.0
1:06.0, ,17-22,Offensive rebound by K. Love,,1,22,17,5,654.0
1:03.0, ,17-22,Turnover by J. Butler (lost ball; steal by G. Harris),,1,22,17,5,657.0
1:01.0,Shooting foul by D. Robinson (drawn by M. Fultz),17-22, ,,1,22,17,5,659.0
1:01.0,M. Fultz makes free throw 1 of 2,18-22, ,,1,22,18,4,659.0
1:01.0,M. Fultz makes free throw 2 of 2,19-22, ,,1,22,19,3,659.0
0:45.0, ,19-22,J. Richardson misses 2-pt hook shot from 7 ft,,1,22,19,3,675.0
0:44.0, ,19-22,Offensive rebound by J. Jaquez,,1,22,19,3,676.0
0:44.0, ,19-22,J. Jaquez misses 2-pt layup from 1 ft,,1,22,19,3,676.0
0:43.0, ,19-22,Offensive rebound by K. Love,,1,22,19,3,677.0
0:43.0, ,19-24,K. Love makes 2-pt layup from 2 ft,,1,24,19,5,677.0
0:39.0,Offensive foul by M. Fultz (drawn by K. Love),19-24, ,,1,24,19,5,681.0
0:39.0,Turnover by M. Fultz (offensive foul),19-24, ,,1,24,19,5,681.0
0:39.0,C. Anthony enters the game for P. Banchero,19-24, ,,1,24,19,5,681.0
0:39.0,J. Isaac enters the game for M. Fultz,19-24, ,,1,24,19,5,681.0
0:18.0, ,19-26,D. Robinson makes 2-pt layup from 6 ft (assist by K. Love),,1,26,19,7,702.0
0:00.0,M. Wagner misses 2-pt hook shot from 6 ft,19-26, ,,1,26,19,7,720.0
0:00.0,Offensive rebound by Team,19-26, ,,1,26,19,7,720.0
0:00.0,End of 1st quarter,19-26,,,1,26,19,7,720.0
12:00.0,Start of 2nd quarter,19-26,,,2,26,19,7,720.0
11:41.0, ,19-26,Personal foul by G. Harris (drawn by D. Robinson),,2,26,19,7,739.0
11:36.0, ,19-26,D. Robinson misses 3-pt jump shot from 28 ft,,2,26,19,7,744.0
11:32.0, ,19-26,Offensive rebound by J. Richardson,,2,26,19,7,748.0
11:31.0, ,19-26,K. Love misses 3-pt jump shot from 26 ft,,2,26,19,7,749.0
11:26.0,Defensive rebound by J. Isaac,19-26, ,,2,26,19,7,754.0
11:04.0,J. Isaac misses 3-pt jump shot from 23 ft,19-26, ,,2,26,19,7,776.0
11:01.0, ,19-26,Defensive rebound by J. Butler,,2,26,19,7,779.0
10:46.0, ,19-28,D. Robinson makes 2-pt jump shot from 7 ft (assist by J. Butler),,2,28,19,9,794.0
10:31.0,Offensive foul by F. Wagner (drawn by D. Robinson),19-28, ,,2,28,19,9,809.0
10:31.0,Turnover by F. Wagner (offensive foul),19-28, ,,2,28,19,9,809.0
10:15.0, ,19-28,K. Love misses 3-pt jump shot from 23 ft (block by M. Wagner),,2,28,19,9,825.0
10:12.0,Defensive rebound by C. Anthony,19-28, ,,2,28,19,9,828.0
