Time,Boston,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. B. Adebayo (D. White gains possession),0-0,,,1,0,0,0,0.0
11:37.0,J. Tatum makes 2-pt layup from 7 ft (assist by K. Porziņģis),2-0, ,,1,0,2,-2,23.0
11:20.0, ,2-2,B. Adebayo makes 2-pt jump shot from 12 ft (assist by T. Herro),Tie,1,2,2,0,40.0
11:04.0,J. Brown misses 2-pt jump shot from 17 ft,2-2, ,,1,2,2,0,56.0
10:58.0, ,2-2,Defensive rebound by T. Herro,,1,2,2,0,62.0
10:49.0, ,2-2,Turnover by J. Jaquez (step out of bounds),,1,2,2,0,71.0
10:37.0,J. Brown misses 3-pt jump shot from 24 ft,2-2, ,,1,2,2,0,83.0
10:36.0, ,2-2,Defensive rebound by T. Herro,,1,2,2,0,84.0
10:29.0, ,2-2,T. Herro misses 3-pt jump shot from 27 ft,,1,2,2,0,91.0
10:26.0,Defensive rebound by K. Porziņģis,2-2, ,,1,2,2,0,94.0
10:19.0,D. White misses 3-pt jump shot from 24 ft,2-2, ,,1,2,2,0,101.0
10:17.0, ,2-2,Defensive rebound by T. Rozier,,1,2,2,0,103.0
10:04.0, ,2-5,J. Jaquez makes 3-pt jump shot from 22 ft (assist by T. Herro),Lead change,1,5,2,3,116.0
9:47.0,J. Holiday misses 2-pt jump shot from 12 ft,2-5, ,,1,5,2,3,133.0
9:45.0, ,2-5,Defensive rebound by C. Martin,,1,5,2,3,135.0
9:40.0, ,2-5,T. Rozier misses 2-pt layup from 3 ft,,1,5,2,3,140.0
9:37.0,Defensive rebound by K. Porziņģis,2-5, ,,1,5,2,3,143.0
9:31.0,J. Brown makes 2-pt jump shot from 10 ft,4-5, ,,1,5,4,1,149.0
9:18.0, ,4-5,Shooting foul by J. Holiday (drawn by B. Adebayo),,1,5,4,1,162.0
9:18.0, ,4-6,B. Adebayo makes free throw 1 of 2,,1,6,4,2,162.0
9:18.0, ,4-7,B. Adebayo makes free throw 2 of 2,,1,7,4,3,162.0
8:59.0,J. Tatum misses 2-pt jump shot from 6 ft,4-7, ,,1,7,4,3,181.0
8:57.0,Offensive rebound by J. Tatum,4-7, ,,1,7,4,3,183.0
8:54.0,J. Tatum makes 2-pt layup from 4 ft,6-7, ,,1,7,6,1,186.0
8:42.0, ,6-7,J. Jaquez misses 3-pt jump shot from 25 ft,,1,7,6,1,198.0
8:42.0,Defensive rebound by J. Tatum,6-7, ,,1,7,6,1,198.0
8:33.0,D. White makes 2-pt layup from 7 ft (assist by J. Holiday),8-7, ,Lead change,1,7,8,-1,207.0
8:26.0, ,8-9,J. Jaquez makes 2-pt dunk from 2 ft (assist by T. Rozier),Lead change,1,9,8,1,214.0
8:09.0,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Holiday),11-9, ,Lead change,1,9,11,-2,231.0
7:57.0, ,11-9,C. Martin misses 3-pt jump shot from 23 ft,,1,9,11,-2,243.0
7:54.0,Defensive rebound by J. Holiday,11-9, ,,1,9,11,-2,246.0
7:38.0,K. Porziņģis misses 3-pt jump shot from 28 ft,11-9, ,,1,9,11,-2,262.0
7:35.0, ,11-9,Defensive rebound by C. Martin,,1,9,11,-2,265.0
7:28.0,Boston full timeout,11-9, ,,1,9,11,-2,272.0
7:28.0,Instant Replay (Challenge: Ruling Stands),11-9, ,,1,9,11,-2,272.0
7:28.0, ,11-9,Turnover by C. Martin (bad pass),,1,9,11,-2,272.0
7:12.0,J. Tatum misses 3-pt jump shot from 25 ft,11-9, ,,1,9,11,-2,288.0
7:09.0, ,11-9,Defensive rebound by B. Adebayo,,1,9,11,-2,291.0
6:58.0, ,11-9,T. Herro misses 3-pt jump shot from 27 ft,,1,9,11,-2,302.0
6:55.0,Defensive rebound by K. Porziņģis,11-9, ,,1,9,11,-2,305.0
6:48.0,J. Tatum misses 2-pt layup from 4 ft,11-9, ,,1,9,11,-2,312.0
6:46.0, ,11-9,Defensive rebound by T. Herro,,1,9,11,-2,314.0
6:35.0, ,11-12,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Rozier),Lead change,1,12,11,1,325.0
6:07.0,K. Porziņģis makes 2-pt jump shot from 6 ft,13-12, ,Lead change,1,12,13,-1,353.0
5:56.0, ,13-14,T. Herro makes 2-pt layup from 4 ft (assist by T. Rozier),Lead change,1,14,13,1,364.0
5:38.0,K. Porziņģis misses 2-pt jump shot from 6 ft,13-14, ,,1,14,13,1,382.0
5:38.0, ,13-14,Defensive rebound by B. Adebayo,,1,14,13,1,382.0
5:28.0, ,13-14,T. Rozier misses 2-pt jump shot from 14 ft,,1,14,13,1,392.0
5:25.0,Defensive rebound by J. Tatum,13-14, ,,1,14,13,1,395.0
5:19.0,J. Brown misses 2-pt layup from 5 ft,13-14, ,,1,14,13,1,401.0
5:19.0, ,13-14,Defensive rebound by J. Jaquez,,1,14,13,1,401.0
5:09.0, ,13-14,T. Rozier misses 2-pt jump shot from 4 ft,,1,14,13,1,411.0
5:06.0,Defensive rebound by K. Porziņģis,13-14, ,,1,14,13,1,414.0
4:50.0,J. Holiday misses 2-pt layup from 2 ft,13-14, ,,1,14,13,1,430.0
4:48.0,Offensive rebound by J. Holiday,13-14, ,,1,14,13,1,432.0
4:46.0,J. Brown makes 3-pt jump shot from 23 ft (assist by J. Holiday),16-14, ,Lead change,1,14,16,-2,434.0
4:27.0, ,16-17,C. Martin makes 3-pt jump shot from 24 ft (assist by T. Rozier),Lead change,1,17,16,1,453.0
4:10.0,D. White makes 2-pt jump shot from 9 ft (assist by J. Holiday),18-17, ,Lead change,1,17,18,-1,470.0
4:09.0, ,18-17,Miami full timeout,,1,17,18,-1,471.0
4:09.0,S. Hauser enters the game for J. Holiday,18-17, ,,1,17,18,-1,471.0
4:09.0,A. Horford enters the game for J. Tatum,18-17, ,,1,17,18,-1,471.0
4:09.0, ,18-17,J. Richardson enters the game for J. Jaquez,,1,17,18,-1,471.0
4:09.0, ,18-17,D. Robinson enters the game for T. Rozier,,1,17,18,-1,471.0
3:57.0, ,18-19,C. Martin makes 2-pt jump shot from 7 ft,Lead change,1,19,18,1,483.0
3:41.0,Turnover by D. White (bad pass; steal by B. Adebayo),18-19, ,,1,19,18,1,499.0
3:38.0, ,18-19,Turnover by B. Adebayo (dbl dribble),,1,19,18,1,502.0
3:24.0,K. Porziņģis misses 3-pt jump shot from 27 ft,18-19, ,,1,19,18,1,516.0
3:20.0,Offensive rebound by J. Brown,18-19, ,,1,19,18,1,520.0
3:16.0,J. Brown makes 2-pt layup from 1 ft,20-19, ,Lead change,1,19,20,-1,524.0
3:01.0, ,20-19,Personal foul by A. Horford (drawn by B. Adebayo),,1,19,20,-1,539.0
3:01.0, ,20-19,K. Love enters the game for B. Adebayo,,1,19,20,-1,539.0
2:52.0, ,20-19,J. Richardson misses 3-pt jump shot from 27 ft,,1,19,20,-1,548.0
2:48.0,Defensive rebound by A. Horford,20-19, ,,1,19,20,-1,552.0
2:39.0,K. Porziņģis makes 2-pt jump shot from 9 ft,22-19, ,,1,19,22,-3,561.0
2:17.0, ,22-22,K. Love makes 3-pt jump shot from 27 ft (assist by D. Robinson),Tie,1,22,22,0,583.0
2:05.0,K. Porziņģis makes 2-pt dunk from 2 ft (assist by D. White),24-22, ,,1,22,24,-2,595.0
1:52.0, ,24-22,D. Robinson misses 3-pt jump shot from 23 ft,,1,22,24,-2,608.0
1:49.0,Defensive rebound by A. Horford,24-22, ,,1,22,24,-2,611.0
1:39.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Brown),26-22, ,,1,22,26,-4,621.0
1:26.0, ,26-22,T. Herro misses 3-pt jump shot from 25 ft,,1,22,26,-4,634.0
1:23.0,Defensive rebound by K. Porziņģis,26-22, ,,1,22,26,-4,637.0
1:12.0,A. Horford misses 3-pt jump shot from 25 ft,26-22, ,,1,22,26,-4,648.0
1:08.0, ,26-22,Defensive rebound by D. Robinson,,1,22,26,-4,652.0
0:55.0, ,26-22,D. Robinson misses 3-pt jump shot from 26 ft,,1,22,26,-4,665.0
0:53.0,Defensive rebound by K. Porziņģis,26-22, ,,1,22,26,-4,667.0
0:33.0,A. Horford misses 2-pt hook shot from 8 ft,26-22, ,,1,22,26,-4,687.0
0:29.0, ,26-22,Defensive rebound by C. Martin,,1,22,26,-4,691.0
0:12.0, ,26-22,J. Richardson misses 3-pt jump shot from 27 ft (block by K. Porziņģis),,1,22,26,-4,708.0
0:08.0, ,26-22,Offensive rebound by K. Love,,1,22,26,-4,712.0
0:05.0, ,26-22,K. Love misses 2-pt jump shot from 8 ft,,1,22,26,-4,715.0
0:04.0,Defensive rebound by A. Horford,26-22, ,,1,22,26,-4,716.0
0:03.0,J. Brown misses 3-pt jump shot from 28 ft,26-22, ,,1,22,26,-4,717.0
0:01.0, ,26-22,Defensive rebound by K. Love,,1,22,26,-4,719.0
0:00.0,End of 1st quarter,26-22,,,1,22,26,-4,720.0
12:00.0,Start of 2nd quarter,26-22,,,2,22,26,-4,720.0
11:52.0, ,26-22,Turnover by D. Robinson (bad pass),,2,22,26,-4,728.0
11:36.0,P. Pritchard makes 3-pt jump shot from 28 ft (assist by J. Tatum),29-22, ,,2,22,29,-7,744.0
11:11.0, ,29-25,D. Robinson makes 3-pt jump shot from 27 ft (assist by J. Richardson),,2,25,29,-4,769.0
10:52.0,J. Tatum makes 2-pt layup from 6 ft,31-25, ,,2,25,31,-6,788.0
10:37.0, ,31-27,H. Highsmith makes 2-pt layup from 2 ft (assist by J. Richardson),,2,27,31,-4,803.0
10:22.0,A. Horford misses 3-pt jump shot from 22 ft,31-27, ,,2,27,31,-4,818.0
10:19.0, ,31-27,Defensive rebound by K. Love,,2,27,31,-4,821.0
10:05.0, ,31-29,J. Richardson makes 2-pt jump shot from 6 ft,,2,29,31,-2,835.0
9:48.0,Shooting foul by D. Robinson (drawn by A. Horford),31-29, ,,2,29,31,-2,852.0
9:48.0,A. Horford makes free throw 1 of 2,32-29, ,,2,29,32,-3,852.0
9:48.0,O. Brissett enters the game for L. Kornet,32-29, ,,2,29,32,-3,852.0
9:48.0,A. Horford makes free throw 2 of 2,33-29, ,,2,29,33,-4,852.0
9:33.0, ,33-29,Turnover by K. Love (bad pass; steal by J. Holiday),,2,29,33,-4,867.0
9:20.0,A. Horford misses 2-pt jump shot from 7 ft,33-29, ,,2,29,33,-4,880.0
9:19.0,Offensive rebound by Team,33-29, ,,2,29,33,-4,881.0
9:17.0,P. Pritchard misses 3-pt jump shot from 27 ft,33-29, ,,2,29,33,-4,883.0
9:14.0, ,33-29,Defensive rebound by K. Love,,2,29,33,-4,886.0
9:10.0, ,33-29,H. Highsmith misses 2-pt layup from 3 ft (block by A. Horford),,2,29,33,-4,890.0
9:07.0,Defensive rebound by O. Brissett,33-29, ,,2,29,33,-4,893.0
9:01.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by O. Brissett),36-29, ,,2,29,36,-7,899.0
9:00.0, ,36-29,Miami full timeout,,2,29,36,-7,900.0
9:00.0, ,36-29,T. Rozier enters the game for J. Richardson,,2,29,36,-7,900.0
8:40.0, ,36-29,J. Jaquez misses 2-pt jump shot from 18 ft,,2,29,36,-7,920.0
8:38.0,Defensive rebound by P. Pritchard,36-29, ,,2,29,36,-7,922.0
8:25.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Tatum),39-29, ,,2,29,39,-10,935.0
7:56.0, ,39-31,T. Rozier makes 2-pt jump shot from 17 ft,,2,31,39,-8,964.0
7:56.0,K. Porziņģis enters the game for O. Brissett,39-31, ,,2,31,39,-8,964.0
7:56.0, ,39-31,B. Adebayo enters the game for K. Love,,2,31,39,-8,964.0
7:32.0,Turnover by Team (shot clock),39-31, ,,2,31,39,-8,988.0
7:12.0, ,39-34,D. Robinson makes 3-pt jump shot from 26 ft (assist by T. Rozier),,2,34,39,-5,1008.0
6:57.0,Shooting foul by B. Adebayo (drawn by K. Porziņģis),39-34, ,,2,34,39,-5,1023.0
6:57.0,K. Porziņģis makes free throw 1 of 2,40-34, ,,2,34,40,-6,1023.0
