Time,Cleveland,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Allen vs. B. Adebayo (T. Rozier gains possession),0-0,,,1,0,0,0,0.0
11:34.0, ,0-0,T. Rozier misses 2-pt jump shot from 20 ft,,1,0,0,0,26.0
11:31.0,Defensive rebound by J. Allen,0-0, ,,1,0,0,0,29.0
11:17.0,J. Allen misses 2-pt jump shot from 10 ft,0-0, ,,1,0,0,0,43.0
11:14.0, ,0-0,Defensive rebound by B. Adebayo,,1,0,0,0,46.0
11:05.0, ,0-0,P. Mills misses 2-pt jump shot from 16 ft,,1,0,0,0,55.0
11:01.0,Defensive rebound by E. Mobley,0-0, ,,1,0,0,0,59.0
10:55.0,E. Mobley makes 3-pt jump shot from 26 ft (assist by J. Allen),3-0, ,,1,0,3,-3,65.0
10:41.0, ,3-2,B. Adebayo makes 2-pt jump shot from 13 ft (assist by T. Rozier),,1,2,3,-1,79.0
10:24.0,Turnover by E. Mobley (bad pass; steal by B. Adebayo),3-2, ,,1,2,3,-1,96.0
10:15.0, ,3-4,P. Mills makes 2-pt layup from 1 ft,Lead change,1,4,3,1,105.0
10:04.0,Turnover by I. Okoro (bad pass; steal by J. Butler),3-4, ,,1,4,3,1,116.0
9:46.0, ,3-7,J. Butler makes 3-pt jump shot from 23 ft (assist by T. Rozier),,1,7,3,4,134.0
9:20.0,Turnover by I. Okoro (lost ball; steal by N. Jović),3-7, ,,1,7,3,4,160.0
9:15.0, ,3-9,T. Rozier makes 2-pt layup from 5 ft (assist by N. Jović),,1,9,3,6,165.0
9:01.0,D. Garland misses 2-pt jump shot from 13 ft,3-9, ,,1,9,3,6,179.0
9:01.0, ,3-9,Defensive rebound by B. Adebayo,,1,9,3,6,179.0
8:54.0, ,3-9,Shooting foul by E. Mobley (drawn by B. Adebayo),,1,9,3,6,186.0
8:54.0, ,3-9,B. Adebayo misses free throw 1 of 2,,1,9,3,6,186.0
8:54.0, ,3-9,Offensive rebound by Team,,1,9,3,6,186.0
8:54.0, ,3-10,B. Adebayo makes free throw 2 of 2,,1,10,3,7,186.0
8:37.0,Personal foul by J. Butler (drawn by J. Allen),3-10, ,,1,10,3,7,203.0
8:32.0,J. Allen makes 2-pt layup from 4 ft (assist by D. Garland),5-10, ,,1,10,5,5,208.0
8:12.0, ,5-10,B. Adebayo misses 3-pt jump shot from 26 ft,,1,10,5,5,228.0
8:09.0,Defensive rebound by I. Okoro,5-10, ,,1,10,5,5,231.0
7:46.0,E. Mobley misses 2-pt jump shot from 11 ft,5-10, ,,1,10,5,5,254.0
7:44.0, ,5-10,Defensive rebound by J. Butler,,1,10,5,5,256.0
7:40.0, ,5-12,J. Butler makes 2-pt layup from 8 ft,,1,12,5,7,260.0
7:40.0, ,5-12,Shooting foul by C. LeVert (drawn by J. Butler),,1,12,5,7,260.0
7:40.0, ,5-13,J. Butler makes free throw 1 of 1,,1,13,5,8,260.0
7:15.0,J. Allen misses 2-pt jump shot from 13 ft,5-13, ,,1,13,5,8,285.0
7:12.0, ,5-13,Defensive rebound by B. Adebayo,,1,13,5,8,288.0
7:10.0, ,5-13,Shooting foul by C. LeVert (drawn by J. Butler),,1,13,5,8,290.0
7:10.0, ,5-13,J. Butler misses free throw 1 of 2,,1,13,5,8,290.0
7:10.0, ,5-13,Offensive rebound by Team,,1,13,5,8,290.0
7:10.0,S. Merrill enters the game for C. LeVert,5-13, ,,1,13,5,8,290.0
7:10.0,G. Niang enters the game for E. Mobley,5-13, ,,1,13,5,8,290.0
7:10.0, ,5-14,J. Butler makes free throw 2 of 2,,1,14,5,9,290.0
7:01.0,S. Merrill misses 3-pt jump shot from 26 ft,5-14, ,,1,14,5,9,299.0
6:58.0, ,5-14,Defensive rebound by B. Adebayo,,1,14,5,9,302.0
6:51.0, ,5-14,N. Jović misses 3-pt jump shot from 24 ft,,1,14,5,9,309.0
6:48.0,Defensive rebound by J. Allen,5-14, ,,1,14,5,9,312.0
6:37.0,J. Allen makes 2-pt dunk from 2 ft (assist by G. Niang),7-14, ,,1,14,7,7,323.0
6:31.0, ,7-14,Personal foul by J. Allen (drawn by B. Adebayo),,1,14,7,7,329.0
6:31.0, ,7-14,Miami full timeout,,1,14,7,7,329.0
6:22.0, ,7-14,P. Mills misses 3-pt jump shot from 26 ft,,1,14,7,7,338.0
6:19.0,Defensive rebound by G. Niang,7-14, ,,1,14,7,7,341.0
6:10.0,J. Allen makes 2-pt hook shot from 7 ft (assist by D. Garland),9-14, ,,1,14,9,5,350.0
5:58.0, ,9-14,Turnover by N. Jović (traveling),,1,14,9,5,362.0
5:43.0,J. Allen misses 2-pt hook shot from 6 ft,9-14, ,,1,14,9,5,377.0
5:43.0,Offensive rebound by Team,9-14, ,,1,14,9,5,377.0
5:42.0, ,9-14,Loose ball foul by P. Mills (drawn by I. Okoro),,1,14,9,5,378.0
5:37.0,I. Okoro misses 2-pt jump shot from 6 ft,9-14, ,,1,14,9,5,383.0
5:37.0,Offensive rebound by Team,9-14, ,,1,14,9,5,383.0
5:37.0, ,9-14,Loose ball foul by N. Jović (drawn by J. Allen),,1,14,9,5,383.0
5:31.0,I. Okoro misses 3-pt jump shot from 25 ft,9-14, ,,1,14,9,5,389.0
5:26.0, ,9-14,Defensive rebound by J. Butler,,1,14,9,5,394.0
5:10.0, ,9-16,B. Adebayo makes 2-pt hook shot from 6 ft,,1,16,9,7,410.0
4:55.0,D. Garland misses 3-pt jump shot from 26 ft,9-16, ,,1,16,9,7,425.0
4:52.0, ,9-16,Defensive rebound by J. Butler,,1,16,9,7,428.0
4:48.0, ,9-16,Shooting foul by S. Merrill (drawn by J. Butler),,1,16,9,7,432.0
4:48.0, ,9-17,J. Butler makes free throw 1 of 2,,1,17,9,8,432.0
4:48.0,M. Morris enters the game for I. Okoro,9-17, ,,1,17,9,8,432.0
4:48.0, ,9-18,J. Butler makes free throw 2 of 2,,1,18,9,9,432.0
4:35.0,D. Garland makes 2-pt jump shot from 10 ft,11-18, ,,1,18,11,7,445.0
4:11.0, ,11-18,B. Adebayo misses 2-pt jump shot from 12 ft,,1,18,11,7,469.0
4:08.0,Defensive rebound by D. Garland,11-18, ,,1,18,11,7,472.0
4:08.0, ,11-18,C. Martin enters the game for J. Butler,,1,18,11,7,472.0
4:08.0, ,11-18,D. Wright enters the game for P. Mills,,1,18,11,7,472.0
3:56.0,Turnover by D. Garland (bad pass; steal by B. Adebayo),11-18, ,,1,18,11,7,484.0
3:47.0, ,11-21,C. Martin makes 3-pt jump shot from 26 ft (assist by T. Rozier),,1,21,11,10,493.0
3:24.0,Shooting foul by N. Jović (drawn by J. Allen),11-21, ,,1,21,11,10,516.0
3:24.0,J. Allen misses free throw 1 of 2,11-21, ,,1,21,11,10,516.0
3:24.0,Offensive rebound by Team,11-21, ,,1,21,11,10,516.0
3:24.0, ,11-21,H. Highsmith enters the game for N. Jović,,1,21,11,10,516.0
3:24.0,J. Allen makes free throw 2 of 2,12-21, ,,1,21,12,9,516.0
3:03.0, ,12-21,T. Rozier misses 3-pt jump shot from 26 ft,,1,21,12,9,537.0
2:59.0,Defensive rebound by D. Garland,12-21, ,,1,21,12,9,541.0
2:55.0,D. Garland misses 2-pt layup from 5 ft,12-21, ,,1,21,12,9,545.0
2:55.0, ,12-21,Defensive rebound by B. Adebayo,,1,21,12,9,545.0
2:48.0, ,12-21,D. Wright misses 3-pt jump shot from 23 ft,,1,21,12,9,552.0
2:45.0,Defensive rebound by G. Niang,12-21, ,,1,21,12,9,555.0
2:32.0,M. Morris makes 2-pt jump shot from 10 ft,14-21, ,,1,21,14,7,568.0
2:05.0, ,14-24,H. Highsmith makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,24,14,10,595.0
1:49.0,G. Niang makes 3-pt jump shot from 27 ft (assist by D. Garland),17-24, ,,1,24,17,7,611.0
1:33.0, ,17-26,B. Adebayo makes 2-pt layup from 4 ft (assist by D. Wright),,1,26,17,9,627.0
1:19.0,G. Niang makes 3-pt jump shot from 28 ft (assist by S. Merrill),20-26, ,,1,26,20,6,641.0
1:07.0, ,20-26,Personal foul by D. Garland (drawn by T. Rozier),,1,26,20,6,653.0
1:07.0,Cleveland full timeout,20-26, ,,1,26,20,6,653.0
1:07.0,E. Mobley enters the game for J. Allen,20-26, ,,1,26,20,6,653.0
1:07.0,C. Porter enters the game for D. Garland,20-26, ,,1,26,20,6,653.0
1:07.0, ,20-26,T. Bryant enters the game for B. Adebayo,,1,26,20,6,653.0
1:07.0, ,20-27,T. Rozier makes free throw 1 of 2,,1,27,20,7,653.0
1:07.0, ,20-28,T. Rozier makes free throw 2 of 2,,1,28,20,8,653.0
0:45.0,E. Mobley makes 2-pt dunk from 2 ft (assist by C. Porter),22-28, ,,1,28,22,6,675.0
0:45.0,Violation by Team (delay of game),22-28, ,,1,28,22,6,675.0
0:36.0, ,22-30,H. Highsmith makes 2-pt layup from 3 ft (assist by T. Rozier),,1,30,22,8,684.0
0:19.0,S. Merrill misses 3-pt jump shot from 24 ft,22-30, ,,1,30,22,8,701.0
0:15.0, ,22-30,Defensive rebound by T. Rozier,,1,30,22,8,705.0
0:01.0, ,22-32,T. Rozier makes 2-pt jump shot from 11 ft,,1,32,22,10,719.0
0:00.0, ,22-32,Instant Replay (Request: Ruling Stands),,1,32,22,10,720.0
0:00.0,End of 1st quarter,22-32,,,1,32,22,10,720.0
12:00.0,Start of 2nd quarter,22-32,,,2,32,22,10,720.0
11:45.0,M. Morris misses 3-pt jump shot from 25 ft,22-32, ,,2,32,22,10,735.0
11:39.0, ,22-32,Defensive rebound by H. Highsmith,,2,32,22,10,741.0
11:25.0, ,22-35,H. Highsmith makes 3-pt jump shot from 23 ft (assist by J. Butler),,2,35,22,13,755.0
11:13.0,Shooting foul by H. Highsmith (drawn by C. Porter),22-35, ,,2,35,22,13,767.0
