Time,Miami,Score,Brooklyn,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
10:10.0, ,3-5,D. Finney-Smith misses 3-pt jump shot from 27 ft,,1,3,5,-2,110.0
10:06.0,Defensive rebound by H. Highsmith,3-5, ,,1,3,5,-2,114.0
9:48.0,J. Richardson misses 3-pt jump shot from 23 ft,3-5, ,,1,3,5,-2,132.0
9:44.0, ,3-5,Defensive rebound by N. Claxton,,1,3,5,-2,136.0
9:35.0, ,3-5,Turnover by S. Dinwiddie (bad pass; steal by T. Bryant),,1,3,5,-2,145.0
9:30.0,K. Lowry misses 3-pt jump shot from 27 ft,3-5, ,,1,3,5,-2,150.0
9:26.0, ,3-5,Defensive rebound by N. Claxton,,1,3,5,-2,154.0
9:17.0, ,3-7,C. Johnson makes 2-pt layup from 3 ft,,1,3,7,-4,163.0
9:04.0,J. Richardson misses 2-pt jump shot from 15 ft,3-7, ,,1,3,7,-4,176.0
9:01.0, ,3-7,Defensive rebound by C. Johnson,,1,3,7,-4,179.0
8:54.0, ,3-7,N. Claxton misses 2-pt hook shot from 5 ft,,1,3,7,-4,186.0
8:52.0,Defensive rebound by T. Bryant,3-7, ,,1,3,7,-4,188.0
8:51.0,Turnover by T. Bryant (bad pass),3-7, ,,1,3,7,-4,189.0
8:51.0, ,3-7,D. Sharpe enters the game for N. Claxton,,1,3,7,-4,189.0
8:43.0, ,3-7,M. Bridges misses 2-pt jump shot from 16 ft,,1,3,7,-4,197.0
8:40.0,Defensive rebound by H. Highsmith,3-7, ,,1,3,7,-4,200.0
8:27.0,T. Bryant makes 2-pt hook shot from 4 ft,5-7, ,,1,5,7,-2,213.0
8:14.0, ,5-7,Shooting foul by K. Lowry (drawn by D. Sharpe),,1,5,7,-2,226.0
8:14.0, ,5-8,D. Sharpe makes free throw 1 of 2,,1,5,8,-3,226.0
8:14.0, ,5-9,D. Sharpe makes free throw 2 of 2,,1,5,9,-4,226.0
7:55.0,Offensive foul by T. Bryant (drawn by D. Finney-Smith),5-9, ,,1,5,9,-4,245.0
7:55.0,Turnover by T. Bryant (offensive foul),5-9, ,,1,5,9,-4,245.0
7:42.0, ,5-11,C. Johnson makes 2-pt jump shot from 14 ft,,1,5,11,-6,258.0
7:24.0,T. Bryant misses 2-pt layup from 5 ft (block by D. Sharpe),5-11, ,,1,5,11,-6,276.0
7:22.0, ,5-11,Defensive rebound by D. Sharpe,,1,5,11,-6,278.0
7:17.0, ,5-11,M. Bridges misses 2-pt layup from 3 ft (block by J. Richardson),,1,5,11,-6,283.0
7:17.0, ,5-11,Offensive rebound by D. Finney-Smith,,1,5,11,-6,283.0
7:17.0, ,5-13,D. Finney-Smith makes 2-pt layup at rim,,1,5,13,-8,283.0
7:17.0,Miami full timeout,5-13, ,,1,5,13,-8,283.0
7:01.0,T. Bryant misses 3-pt jump shot from 25 ft,5-13, ,,1,5,13,-8,299.0
6:58.0, ,5-13,Defensive rebound by D. Sharpe,,1,5,13,-8,302.0
6:40.0, ,5-16,C. Johnson makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,1,5,16,-11,320.0
6:25.0,T. Bryant misses 2-pt jump shot from 4 ft (block by M. Bridges),5-16, ,,1,5,16,-11,335.0
6:25.0,Offensive rebound by Team,5-16, ,,1,5,16,-11,335.0
6:17.0,J. Richardson misses 3-pt jump shot from 26 ft,5-16, ,,1,5,16,-11,343.0
6:13.0, ,5-16,Defensive rebound by M. Bridges,,1,5,16,-11,347.0
6:07.0, ,5-16,M. Bridges misses 2-pt jump shot from 8 ft,,1,5,16,-11,353.0
6:04.0,Defensive rebound by J. Richardson,5-16, ,,1,5,16,-11,356.0
5:58.0,H. Highsmith makes 3-pt jump shot from 30 ft (assist by J. Richardson),8-16, ,,1,8,16,-8,362.0
5:34.0, ,8-18,C. Johnson makes 2-pt layup from 2 ft (assist by D. Sharpe),,1,8,18,-10,386.0
5:28.0,Turnover by K. Lowry (bad pass; steal by C. Johnson),8-18, ,,1,8,18,-10,392.0
5:22.0, ,8-18,Shooting foul by H. Highsmith (drawn by S. Dinwiddie),,1,8,18,-10,398.0
5:22.0, ,8-19,S. Dinwiddie makes free throw 1 of 2,,1,8,19,-11,398.0
5:22.0,K. Love enters the game for T. Bryant,8-19, ,,1,8,19,-11,398.0
5:22.0,C. Martin enters the game for H. Highsmith,8-19, ,,1,8,19,-11,398.0
5:22.0, ,8-19,N. Claxton enters the game for D. Sharpe,,1,8,19,-11,398.0
5:22.0, ,8-20,S. Dinwiddie makes free throw 2 of 2,,1,8,20,-12,398.0
5:09.0,Def 3 sec tech foul by Team,8-20, ,,1,8,20,-12,411.0
5:09.0,J. Richardson makes technical free throw,9-20, ,,1,9,20,-11,411.0
5:09.0, ,9-20,T. Watford enters the game for S. Dinwiddie,,1,9,20,-11,411.0
5:00.0,J. Jaquez misses 2-pt hook shot from 7 ft (block by D. Finney-Smith),9-20, ,,1,9,20,-11,420.0
5:00.0,Offensive rebound by Team,9-20, ,,1,9,20,-11,420.0
4:56.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by K. Love),12-20, ,,1,12,20,-8,424.0
4:37.0, ,12-23,T. Watford makes 3-pt jump shot from 26 ft (assist by M. Bridges),,1,12,23,-11,443.0
4:17.0,K. Lowry misses 3-pt jump shot from 24 ft,12-23, ,,1,12,23,-11,463.0
4:15.0, ,12-23,Defensive rebound by M. Bridges,,1,12,23,-11,465.0
3:57.0, ,12-23,Violation by Team (kicked ball),,1,12,23,-11,483.0
3:57.0,J. Cain enters the game for J. Richardson,12-23, ,,1,12,23,-11,483.0
3:57.0, ,12-23,L. Walker enters the game for C. Johnson,,1,12,23,-11,483.0
3:42.0,J. Jaquez makes 3-pt jump shot from 27 ft (assist by K. Lowry),15-23, ,,1,15,23,-8,498.0
3:39.0, ,15-23,Brooklyn full timeout,,1,15,23,-8,501.0
3:39.0, ,15-23,R. O'Neale enters the game for D. Finney-Smith,,1,15,23,-8,501.0
3:20.0, ,15-23,Turnover by L. Walker (traveling),,1,15,23,-8,520.0
3:06.0,Shooting foul by R. O'Neale (drawn by K. Lowry),15-23, ,,1,15,23,-8,534.0
3:06.0,K. Lowry makes free throw 1 of 2,16-23, ,,1,16,23,-7,534.0
3:06.0, ,16-23,S. Dinwiddie enters the game for M. Bridges,,1,16,23,-7,534.0
3:06.0,K. Lowry misses free throw 2 of 2,16-23, ,,1,16,23,-7,534.0
3:03.0,Offensive rebound by C. Martin,16-23, ,,1,16,23,-7,537.0
2:57.0,K. Lowry makes 2-pt layup from 2 ft (assist by J. Jaquez),18-23, ,,1,18,23,-5,543.0
2:35.0, ,18-23,T. Watford misses 2-pt jump shot from 10 ft,,1,18,23,-5,565.0
2:32.0,Defensive rebound by J. Jaquez,18-23, ,,1,18,23,-5,568.0
2:18.0,C. Martin makes 2-pt jump shot from 14 ft (assist by J. Jaquez),20-23, ,,1,20,23,-3,582.0
1:55.0, ,20-23,N. Claxton misses 2-pt layup from 5 ft,,1,20,23,-3,605.0
1:52.0,Defensive rebound by K. Love,20-23, ,,1,20,23,-3,608.0
1:52.0,J. Richardson enters the game for J. Jaquez,20-23, ,,1,20,23,-3,608.0
1:52.0,C. Swider enters the game for K. Lowry,20-23, ,,1,20,23,-3,608.0
1:33.0,Turnover by C. Swider (bad pass; steal by S. Dinwiddie),20-23, ,,1,20,23,-3,627.0
1:29.0, ,20-26,L. Walker makes 3-pt jump shot from 28 ft (assist by R. O'Neale),,1,20,26,-6,631.0
1:19.0,Personal foul by S. Dinwiddie (drawn by K. Love),20-26, ,,1,20,26,-6,641.0
1:09.0,C. Martin misses 2-pt layup from 3 ft (block by N. Claxton),20-26, ,,1,20,26,-6,651.0
1:09.0,Offensive rebound by K. Love,20-26, ,,1,20,26,-6,651.0
1:09.0,Shooting foul by T. Watford (drawn by K. Love),20-26, ,,1,20,26,-6,651.0
1:09.0, ,20-26,Brooklyn full timeout,,1,20,26,-6,651.0
1:09.0, ,20-26,D. Finney-Smith enters the game for N. Claxton,,1,20,26,-6,651.0
1:09.0,K. Love makes free throw 1 of 2,21-26, ,,1,21,26,-5,651.0
1:09.0,K. Love makes free throw 2 of 2,22-26, ,,1,22,26,-4,651.0
0:52.0, ,22-26,L. Walker misses 3-pt jump shot from 26 ft,,1,22,26,-4,668.0
0:48.0,Defensive rebound by K. Love,22-26, ,,1,22,26,-4,672.0
0:44.0,Turnover by K. Love (back court),22-26, ,,1,22,26,-4,676.0
0:44.0, ,22-26,C. Johnson enters the game for T. Watford,,1,22,26,-4,676.0
0:32.0, ,22-26,S. Dinwiddie misses 3-pt jump shot from 29 ft,,1,22,26,-4,688.0
0:28.0,Defensive rebound by K. Love,22-26, ,,1,22,26,-4,692.0
0:19.0,J. Richardson misses 2-pt layup from 3 ft,22-26, ,,1,22,26,-4,701.0
0:17.0, ,22-26,Defensive rebound by C. Johnson,,1,22,26,-4,703.0
0:02.0, ,22-26,L. Walker misses 2-pt jump shot from 16 ft,,1,22,26,-4,718.0
0:02.0,Defensive rebound by J. Cain,22-26, ,,1,22,26,-4,718.0
0:00.0,End of 1st quarter,22-26,,,1,22,26,-4,720.0
12:00.0,Start of 2nd quarter,22-26,,,2,22,26,-4,720.0
11:49.0,J. Cain makes 2-pt layup from 1 ft (assist by J. Richardson),24-26, ,,2,24,26,-2,731.0
11:31.0, ,24-26,C. Johnson misses 3-pt jump shot from 24 ft,,2,24,26,-2,749.0
11:26.0, ,24-26,Offensive rebound by R. O'Neale,,2,24,26,-2,754.0
11:26.0, ,24-26,R. O'Neale misses 2-pt layup at rim,,2,24,26,-2,754.0
11:26.0,Defensive rebound by K. Love,24-26, ,,2,24,26,-2,754.0
11:21.0,C. Martin misses 2-pt layup from 7 ft (block by R. O'Neale),24-26, ,,2,24,26,-2,759.0
11:21.0, ,24-26,Defensive rebound by C. Johnson,,2,24,26,-2,759.0
11:12.0, ,24-28,D. Finney-Smith makes 2-pt layup from 2 ft,,2,24,28,-4,768.0
10:53.0,J. Cain makes 3-pt jump shot from 22 ft (assist by K. Love),27-28, ,,2,27,28,-1,787.0
10:36.0, ,27-31,R. O'Neale makes 3-pt jump shot from 23 ft (assist by C. Johnson),,2,27,31,-4,804.0
10:21.0,C. Martin makes 2-pt layup from 2 ft (assist by J. Richardson),29-31, ,,2,29,31,-2,819.0
10:10.0, ,29-34,R. O'Neale makes 3-pt jump shot from 32 ft (assist by S. Dinwiddie),,2,29,34,-5,830.0
10:01.0,Shooting foul by L. Walker (drawn by J. Richardson),29-34, ,,2,29,34,-5,839.0
10:01.0,J. Richardson makes free throw 1 of 2,30-34, ,,2,30,34,-4,839.0
10:01.0,N. Jović enters the game for K. Love,30-34, ,,2,30,34,-4,839.0
10:01.0,J. Richardson makes free throw 2 of 2,31-34, ,,2,31,34,-3,839.0
9:44.0, ,31-37,S. Dinwiddie makes 3-pt jump shot from 22 ft (assist by C. Johnson),,2,31,37,-6,856.0
9:34.0,C. Martin misses 3-pt jump shot from 26 ft,31-37, ,,2,31,37,-6,866.0
9:30.0,Offensive rebound by J. Richardson,31-37, ,,2,31,37,-6,870.0
9:25.0,J. Richardson makes 2-pt jump shot from 16 ft (assist by C. Swider),33-37, ,,2,33,37,-4,875.0
9:06.0, ,33-37,Brooklyn full timeout,,2,33,37,-4,894.0
9:06.0, ,33-37,Instant Replay (Challenge: Ruling Stands),,2,33,37,-4,894.0
9:06.0, ,33-37,Shooting foul by N. Jović (drawn by L. Walker),,2,33,37,-4,894.0
9:06.0, ,33-37,N. Claxton enters the game for D. Finney-Smith,,2,33,37,-4,894.0
9:06.0, ,33-38,L. Walker makes free throw 1 of 2,,2,33,38,-5,894.0
9:06.0, ,33-39,L. Walker makes free throw 2 of 2,,2,33,39,-6,894.0
8:56.0,C. Swider makes 3-pt jump shot from 26 ft (assist by N. Jović),36-39, ,,2,36,39,-3,904.0
8:36.0, ,36-41,N. Claxton makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,2,36,41,-5,924.0
8:25.0,J. Richardson misses 3-pt jump shot from 26 ft,36-41, ,,2,36,41,-5,935.0
8:23.0, ,36-41,Defensive rebound by C. Johnson,,2,36,41,-5,937.0
8:03.0, ,36-43,N. Claxton makes 2-pt layup from 3 ft (assist by S. Dinwiddie),,2,36,43,-7,957.0
7:51.0,C. Swider makes 3-pt jump shot from 28 ft (assist by C. Martin),39-43, ,,2,39,43,-4,969.0
7:34.0, ,39-46,L. Walker makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,2,39,46,-7,986.0
7:34.0,Miami full timeout,39-46, ,,2,39,46,-7,986.0
7:34.0, ,39-46,M. Bridges enters the game for R. O'Neale,,2,39,46,-7,986.0
7:23.0,Turnover by J. Cain (back court),39-46, ,,2,39,46,-7,997.0
7:16.0, ,39-46,M. Bridges misses 3-pt jump shot from 28 ft,,2,39,46,-7,1004.0
7:11.0,Defensive rebound by N. Jović,39-46, ,,2,39,46,-7,1009.0
7:07.0,C. Martin makes 2-pt jump shot from 22 ft (assist by N. Jović),41-46, ,,2,41,46,-5,1013.0
6:39.0, ,41-46,L. Walker misses 3-pt jump shot from 29 ft,,2,41,46,-5,1041.0
6:37.0,Defensive rebound by C. Martin,41-46, ,,2,41,46,-5,1043.0
6:36.0,Personal foul by M. Bridges (drawn by C. Martin),41-46, ,,2,41,46,-5,1044.0
6:36.0,K. Lowry enters the game for J. Richardson,41-46, ,,2,41,46,-5,1044.0
6:26.0,C. Martin misses 2-pt jump shot from 21 ft,41-46, ,,2,41,46,-5,1054.0
6:22.0, ,41-46,Defensive rebound by M. Bridges,,2,41,46,-5,1058.0
6:15.0, ,41-46,L. Walker misses 3-pt jump shot from 23 ft,,2,41,46,-5,1065.0
6:13.0,Defensive rebound by J. Cain,41-46, ,,2,41,46,-5,1067.0
6:07.0,J. Cain misses 3-pt jump shot from 27 ft,41-46, ,,2,41,46,-5,1073.0
6:03.0, ,41-46,Defensive rebound by L. Walker,,2,41,46,-5,1077.0
5:57.0, ,41-46,Shooting foul by K. Lowry (drawn by M. Bridges),,2,41,46,-5,1083.0
