A,B,C,D,E,F,Event
1st Q
Time,Milwaukee,,Score,,Miami,
12:00.0,Jump ball: G. Antetokounmpo vs. B. Adebayo (G. Hill gains possession),
11:46.0,Turnover by K. Middleton (bad pass; steal by K. Lowry), ,0-0, , ,
11:40.0, , ,0-2,+2,B. Adebayo makes 2-pt layup from 5 ft,
11:22.0,Shooting foul by P. Tucker (drawn by G. Antetokounmpo), ,0-2, , ,
11:22.0,G. Antetokounmpo misses free throw 1 of 2, ,0-2, , ,
11:22.0,Offensive rebound by Team, ,0-2, , ,
11:22.0,G. Antetokounmpo makes free throw 2 of 2,+1,1-2, , ,
11:10.0, , ,1-2, ,Shooting foul by G. Antetokounmpo (drawn by B. Adebayo),
11:10.0, , ,1-3,+1,B. Adebayo makes free throw 1 of 2,
11:10.0, , ,1-3, ,B. Adebayo misses free throw 2 of 2,
11:08.0, , ,1-3, ,Offensive rebound by Team,
11:06.0, , ,1-3, ,D. Robinson misses 3-pt jump shot from 24 ft,
11:00.0,Defensive rebound by K. Middleton, ,1-3, , ,
10:59.0,P. Connaughton makes 2-pt layup from 2 ft (assist by K. Middleton),+2,3-3, , ,Tie
10:50.0, , ,3-3, ,B. Adebayo misses 2-pt jump shot from 17 ft,
10:47.0,Defensive rebound by P. Connaughton, ,3-3, , ,
10:36.0,P. Connaughton misses 3-pt jump shot from 26 ft, ,3-3, , ,
10:33.0, , ,3-3, ,Defensive rebound by P. Tucker,
10:25.0, , ,3-3, ,Personal foul by G. Allen (drawn by B. Adebayo),
10:14.0, , ,3-3, ,K. Lowry misses 3-pt jump shot from 27 ft,
10:10.0,Defensive rebound by G. Antetokounmpo, ,3-3, , ,
10:03.0,G. Allen misses 3-pt jump shot from 25 ft, ,3-3, , ,
10:01.0, , ,3-3, ,Defensive rebound by P. Tucker,
9:57.0, , ,3-3, ,D. Robinson misses 2-pt layup from 3 ft,
9:53.0,Defensive rebound by G. Allen, ,3-3, , ,
9:52.0,K. Middleton misses 3-pt jump shot from 26 ft, ,3-3, , ,
9:47.0, , ,3-3, ,Defensive rebound by D. Robinson,
9:43.0, , ,3-5,+2,J. Butler makes 2-pt jump shot from 9 ft,
9:28.0,Turnover by K. Middleton (bad pass; steal by P. Tucker), ,3-5, , ,
9:24.0, , ,3-7,+2,J. Butler makes 2-pt dunk from 1 ft (assist by P. Tucker),
9:08.0,P. Connaughton misses 3-pt jump shot from 26 ft, ,3-7, , ,
9:06.0, , ,3-7, ,Defensive rebound by K. Lowry,
8:55.0, , ,3-7, ,Personal foul by K. Middleton (drawn by B. Adebayo),
8:48.0, , ,3-7, ,K. Lowry misses 2-pt jump shot from 13 ft,
8:45.0, , ,3-7, ,Offensive rebound by Team,
8:40.0, , ,3-9,+2,B. Adebayo makes 2-pt layup from 3 ft,
8:23.0,K. Middleton misses 3-pt jump shot from 24 ft, ,3-9, , ,
8:20.0, , ,3-9, ,Defensive rebound by D. Robinson,
8:11.0, , ,3-11,+2,B. Adebayo makes 2-pt jump shot from 17 ft,
