Time,Detroit,Score,Toronto,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: I. Stewart vs. J. Poeltl (D. Schröder gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-2,J. Poeltl makes 2-pt layup from 2 ft (assist by D. Schröder),,1,0,2,-2,16.0
11:22.0,Shooting foul by J. Poeltl (drawn by K. Knox),0-2, ,,1,0,2,-2,38.0
11:22.0,K. Knox makes free throw 1 of 2,1-2, ,,1,1,2,-1,38.0
11:22.0,K. Knox misses free throw 2 of 2,1-2, ,,1,1,2,-1,38.0
11:20.0, ,1-2,Defensive rebound by J. Poeltl,,1,1,2,-1,40.0
11:07.0, ,1-4,P. Siakam makes 2-pt layup from 2 ft (assist by D. Schröder),,1,1,4,-3,53.0
10:48.0,C. Cunningham makes 2-pt layup from 5 ft,3-4, ,,1,3,4,-1,72.0
10:29.0, ,3-4,Shooting foul by J. Ivey (drawn by D. Schröder),,1,3,4,-1,91.0
10:29.0, ,3-4,D. Schröder misses free throw 1 of 2,,1,3,4,-1,91.0
10:29.0, ,3-4,Offensive rebound by Team,,1,3,4,-1,91.0
10:29.0, ,3-5,D. Schröder makes free throw 2 of 2,,1,3,5,-2,91.0
10:20.0,J. Ivey misses 3-pt jump shot from 28 ft,3-5, ,,1,3,5,-2,100.0
10:16.0, ,3-5,Defensive rebound by J. Poeltl,,1,3,5,-2,104.0
10:05.0, ,3-5,Turnover by S. Barnes (traveling),,1,3,5,-2,115.0
9:49.0,K. Knox misses 3-pt jump shot from 24 ft,3-5, ,,1,3,5,-2,131.0
9:44.0,Offensive rebound by I. Stewart,3-5, ,,1,3,5,-2,136.0
9:41.0,K. Knox misses 2-pt dunk from 2 ft (block by J. Poeltl),3-5, ,,1,3,5,-2,139.0
9:38.0, ,3-5,Defensive rebound by P. Siakam,,1,3,5,-2,142.0
9:35.0, ,3-8,O. Anunoby makes 3-pt jump shot from 24 ft (assist by P. Siakam),,1,3,8,-5,145.0
9:16.0,A. Thompson makes 2-pt jump shot from 9 ft,5-8, ,,1,5,8,-3,164.0
9:02.0, ,5-10,O. Anunoby makes 2-pt jump shot from 17 ft (assist by D. Schröder),,1,5,10,-5,178.0
8:46.0,I. Stewart misses 2-pt jump shot from 18 ft,5-10, ,,1,5,10,-5,194.0
8:44.0, ,5-10,Defensive rebound by J. Poeltl,,1,5,10,-5,196.0
8:39.0, ,5-10,P. Siakam misses 3-pt jump shot from 25 ft,,1,5,10,-5,201.0
8:36.0,Defensive rebound by A. Thompson,5-10, ,,1,5,10,-5,204.0
8:33.0,Turnover by A. Thompson (bad pass; steal by P. Siakam),5-10, ,,1,5,10,-5,207.0
8:26.0, ,5-12,D. Schröder makes 2-pt jump shot from 14 ft,,1,5,12,-7,214.0
8:13.0,I. Stewart misses 2-pt jump shot from 16 ft,5-12, ,,1,5,12,-7,227.0
8:13.0, ,5-12,Defensive rebound by Team,,1,5,12,-7,227.0
7:59.0, ,5-14,D. Schröder makes 2-pt layup from 6 ft (assist by P. Siakam),,1,5,14,-9,241.0
7:58.0,Detroit full timeout,5-14, ,,1,5,14,-9,242.0
7:44.0,J. Ivey makes 2-pt layup from 4 ft (assist by C. Cunningham),7-14, ,,1,7,14,-7,256.0
7:29.0, ,7-14,P. Siakam misses 2-pt layup from 3 ft,,1,7,14,-7,271.0
7:25.0,Defensive rebound by A. Thompson,7-14, ,,1,7,14,-7,275.0
7:21.0,I. Stewart misses 3-pt jump shot from 26 ft,7-14, ,,1,7,14,-7,279.0
7:17.0, ,7-14,Defensive rebound by S. Barnes,,1,7,14,-7,283.0
7:10.0, ,7-14,Turnover by S. Barnes (lost ball; steal by A. Thompson),,1,7,14,-7,290.0
7:07.0,Shooting foul by O. Anunoby (drawn by A. Thompson),7-14, ,,1,7,14,-7,293.0
7:07.0,A. Thompson makes free throw 1 of 2,8-14, ,,1,8,14,-6,293.0
7:07.0, ,8-14,G. Trent enters the game for S. Barnes,,1,8,14,-6,293.0
7:07.0,A. Thompson makes free throw 2 of 2,9-14, ,,1,9,14,-5,293.0
6:53.0, ,9-14,O. Anunoby misses 2-pt jump shot from 5 ft,,1,9,14,-5,307.0
6:49.0, ,9-14,Offensive rebound by O. Anunoby,,1,9,14,-5,311.0
6:49.0, ,9-14,O. Anunoby misses 2-pt layup at rim,,1,9,14,-5,311.0
6:48.0,Defensive rebound by I. Stewart,9-14, ,,1,9,14,-5,312.0
6:46.0,C. Cunningham makes 3-pt jump shot from 26 ft,12-14, ,,1,12,14,-2,314.0
6:26.0, ,12-14,D. Schröder misses 2-pt layup from 4 ft,,1,12,14,-2,334.0
6:24.0, ,12-14,Offensive rebound by J. Poeltl,,1,12,14,-2,336.0
6:19.0, ,12-14,D. Schröder misses 3-pt jump shot from 24 ft,,1,12,14,-2,341.0
6:18.0, ,12-14,Offensive rebound by Team,,1,12,14,-2,342.0
6:18.0,Loose ball foul by K. Knox (drawn by J. Poeltl),12-14, ,,1,12,14,-2,342.0
6:18.0,A. Burks enters the game for J. Ivey,12-14, ,,1,12,14,-2,342.0
6:10.0, ,12-14,G. Trent misses 3-pt jump shot from 25 ft,,1,12,14,-2,350.0
6:07.0,Defensive rebound by A. Burks,12-14, ,,1,12,14,-2,353.0
6:00.0,C. Cunningham misses 2-pt layup from 5 ft,12-14, ,,1,12,14,-2,360.0
5:58.0, ,12-14,Defensive rebound by O. Anunoby,,1,12,14,-2,362.0
5:56.0, ,12-14,Turnover by O. Anunoby (bad pass; steal by K. Knox),,1,12,14,-2,364.0
5:52.0,C. Cunningham misses 2-pt layup from 2 ft,12-14, ,,1,12,14,-2,368.0
5:48.0,Offensive rebound by C. Cunningham,12-14, ,,1,12,14,-2,372.0
5:48.0,C. Cunningham misses 2-pt layup at rim (block by J. Poeltl),12-14, ,,1,12,14,-2,372.0
5:47.0, ,12-14,Defensive rebound by J. Poeltl,,1,12,14,-2,373.0
5:34.0, ,12-14,P. Siakam misses 2-pt hook shot from 5 ft,,1,12,14,-2,386.0
5:32.0,Defensive rebound by I. Stewart,12-14, ,,1,12,14,-2,388.0
5:21.0,Turnover by K. Knox (bad pass),12-14, ,,1,12,14,-2,399.0
5:21.0,M. Bagley enters the game for I. Stewart,12-14, ,,1,12,14,-2,399.0
5:21.0, ,12-14,M. Flynn enters the game for O. Anunoby,,1,12,14,-2,399.0
5:10.0, ,12-16,D. Schröder makes 2-pt layup from 2 ft (assist by J. Poeltl),,1,12,16,-4,410.0
4:51.0,A. Burks makes 2-pt jump shot from 13 ft,14-16, ,,1,14,16,-2,429.0
4:31.0, ,14-18,D. Schröder makes 2-pt jump shot from 18 ft,,1,14,18,-4,449.0
4:16.0,C. Cunningham makes 2-pt jump shot from 19 ft (assist by M. Bagley),16-18, ,,1,16,18,-2,464.0
4:02.0, ,16-20,D. Schröder makes 2-pt layup from 1 ft (assist by J. Poeltl),,1,16,20,-4,478.0
3:48.0,K. Knox misses 2-pt jump shot from 12 ft,16-20, ,,1,16,20,-4,492.0
3:45.0, ,16-20,Defensive rebound by J. Poeltl,,1,16,20,-4,495.0
3:33.0, ,16-20,P. Siakam misses 2-pt hook shot from 7 ft,,1,16,20,-4,507.0
3:30.0,Defensive rebound by C. Cunningham,16-20, ,,1,16,20,-4,510.0
3:26.0,C. Cunningham misses 2-pt layup from 1 ft (block by J. Poeltl),16-20, ,,1,16,20,-4,514.0
3:22.0, ,16-20,Defensive rebound by P. Siakam,,1,16,20,-4,518.0
3:18.0, ,16-20,G. Trent misses 3-pt jump shot from 25 ft,,1,16,20,-4,522.0
3:14.0, ,16-20,Offensive rebound by P. Siakam,,1,16,20,-4,526.0
3:12.0, ,16-20,D. Schröder misses 3-pt jump shot from 24 ft,,1,16,20,-4,528.0
3:09.0,Defensive rebound by A. Thompson,16-20, ,,1,16,20,-4,531.0
3:03.0,K. Knox misses 3-pt jump shot from 25 ft,16-20, ,,1,16,20,-4,537.0
3:00.0,Offensive rebound by M. Bagley,16-20, ,,1,16,20,-4,540.0
3:00.0,M. Bagley makes 2-pt layup at rim,18-20, ,,1,18,20,-2,540.0
3:00.0, ,18-20,Toronto full timeout,,1,18,20,-2,540.0
3:00.0,M. Sasser enters the game for C. Cunningham,18-20, ,,1,18,20,-2,540.0
3:00.0,S. Umude enters the game for K. Knox,18-20, ,,1,18,20,-2,540.0
3:00.0, ,18-20,P. Achiuwa enters the game for J. Poeltl,,1,18,20,-2,540.0
3:00.0, ,18-20,S. Barnes enters the game for D. Schröder,,1,18,20,-2,540.0
2:40.0, ,18-22,S. Barnes makes 2-pt hook shot from 6 ft (assist by P. Siakam),,1,18,22,-4,560.0
2:26.0,M. Sasser makes 2-pt jump shot from 12 ft,20-22, ,,1,20,22,-2,574.0
2:13.0, ,20-24,G. Trent makes 2-pt jump shot from 8 ft (assist by P. Achiuwa),,1,20,24,-4,587.0
2:13.0, ,20-24,Shooting foul by S. Umude (drawn by G. Trent),,1,20,24,-4,587.0
2:13.0, ,20-25,G. Trent makes free throw 1 of 1,,1,20,25,-5,587.0
2:00.0,A. Burks misses 2-pt jump shot from 9 ft,20-25, ,,1,20,25,-5,600.0
1:59.0, ,20-25,Defensive rebound by Team,,1,20,25,-5,601.0
1:42.0, ,20-25,S. Barnes misses 2-pt jump shot from 22 ft,,1,20,25,-5,618.0
1:39.0,Defensive rebound by A. Thompson,20-25, ,,1,20,25,-5,621.0
1:25.0,A. Burks misses 2-pt jump shot from 11 ft,20-25, ,,1,20,25,-5,635.0
1:25.0,Offensive rebound by Team,20-25, ,,1,20,25,-5,635.0
1:25.0, ,20-25,Loose ball foul by M. Flynn (drawn by M. Bagley),,1,20,25,-5,635.0
1:25.0,K. Knox enters the game for A. Thompson,20-25, ,,1,20,25,-5,635.0
1:25.0, ,20-25,C. Boucher enters the game for P. Siakam,,1,20,25,-5,635.0
1:22.0,Turnover by A. Burks (back court),20-25, ,,1,20,25,-5,638.0
1:11.0, ,20-28,P. Achiuwa makes 3-pt jump shot from 26 ft (assist by S. Barnes),,1,20,28,-8,649.0
0:57.0,M. Sasser misses 2-pt jump shot from 18 ft,20-28, ,,1,20,28,-8,663.0
0:54.0, ,20-28,Defensive rebound by C. Boucher,,1,20,28,-8,666.0
0:46.0, ,20-30,S. Barnes makes 2-pt jump shot from 6 ft (assist by M. Flynn),,1,20,30,-10,674.0
0:35.0,Turnover by S. Umude (bad pass; steal by M. Flynn),20-30, ,,1,20,30,-10,685.0
0:34.0, ,20-32,P. Achiuwa makes 2-pt dunk from 1 ft (assist by M. Flynn),,1,20,32,-12,686.0
0:15.0,A. Burks misses 3-pt jump shot from 25 ft,20-32, ,,1,20,32,-12,705.0
0:12.0, ,20-32,Defensive rebound by C. Boucher,,1,20,32,-12,708.0
0:00.0, ,20-32,G. Trent misses 3-pt jump shot from 27 ft,,1,20,32,-12,720.0
0:00.0, ,20-32,Offensive rebound by Team,,1,20,32,-12,720.0
0:00.0,End of 1st quarter,20-32,,,1,20,32,-12,720.0
12:00.0,Start of 2nd quarter,20-32,,,2,20,32,-12,720.0
11:56.0,Turnover by M. Sasser (bad pass),20-32, ,,2,20,32,-12,724.0
11:49.0, ,20-34,P. Achiuwa makes 2-pt layup from 4 ft (assist by S. Barnes),,2,20,34,-14,731.0
11:30.0,M. Bagley misses 2-pt jump shot from 10 ft,20-34, ,,2,20,34,-14,750.0
11:26.0, ,20-34,Defensive rebound by C. Boucher,,2,20,34,-14,754.0
11:20.0, ,20-36,C. Boucher makes 2-pt layup from 1 ft (assist by S. Barnes),,2,20,36,-16,760.0
11:03.0,M. Bagley makes 2-pt dunk at rim (assist by S. Umude),22-36, ,,2,22,36,-14,777.0
10:50.0, ,22-36,S. Barnes misses 2-pt jump shot from 9 ft,,2,22,36,-14,790.0
10:46.0, ,22-36,Offensive rebound by S. Barnes,,2,22,36,-14,794.0
10:46.0, ,22-38,S. Barnes makes 2-pt layup at rim,,2,22,38,-16,794.0
10:26.0,Turnover by K. Knox (bad pass; steal by G. Dick),22-38, ,,2,22,38,-16,814.0
10:21.0, ,22-38,Shooting foul by A. Burks (drawn by O. Anunoby),,2,22,38,-16,819.0
10:21.0, ,22-38,O. Anunoby misses free throw 1 of 2,,2,22,38,-16,819.0
10:21.0, ,22-38,Offensive rebound by Team,,2,22,38,-16,819.0
10:21.0,C. Cunningham enters the game for M. Sasser,22-38, ,,2,22,38,-16,819.0
10:21.0,J. Ivey enters the game for S. Umude,22-38, ,,2,22,38,-16,819.0
10:21.0, ,22-39,O. Anunoby makes free throw 2 of 2,,2,22,39,-17,819.0
10:11.0,M. Bagley makes 2-pt dunk from 1 ft (assist by J. Ivey),24-39, ,,2,24,39,-15,829.0
9:59.0, ,24-42,P. Achiuwa makes 3-pt jump shot from 25 ft (assist by S. Barnes),,2,24,42,-18,841.0
9:44.0,J. Ivey misses 3-pt jump shot from 25 ft,24-42, ,,2,24,42,-18,856.0
9:41.0, ,24-42,Defensive rebound by P. Achiuwa,,2,24,42,-18,859.0
9:33.0, ,24-45,S. Barnes makes 3-pt jump shot from 30 ft (assist by O. Anunoby),,2,24,45,-21,867.0
9:33.0,Detroit full timeout,24-45, ,,2,24,45,-21,867.0
9:33.0,I. Stewart enters the game for M. Bagley,24-45, ,,2,24,45,-21,867.0
9:33.0,A. Thompson enters the game for K. Knox,24-45, ,,2,24,45,-21,867.0
9:19.0,Shooting foul by G. Dick (drawn by A. Burks),24-45, ,,2,24,45,-21,881.0
9:19.0,A. Burks makes free throw 1 of 2,25-45, ,,2,25,45,-20,881.0
9:19.0,A. Burks makes free throw 2 of 2,26-45, ,,2,26,45,-19,881.0
9:02.0, ,26-45,O. Anunoby misses 3-pt jump shot from 26 ft,,2,26,45,-19,898.0
8:59.0,Defensive rebound by I. Stewart,26-45, ,,2,26,45,-19,901.0
8:51.0,Shooting foul by C. Boucher (drawn by A. Burks),26-45, ,,2,26,45,-19,909.0
8:51.0,A. Burks makes free throw 1 of 2,27-45, ,,2,27,45,-18,909.0
8:51.0,A. Burks misses free throw 2 of 2,27-45, ,,2,27,45,-18,909.0
8:48.0, ,27-45,Defensive rebound by O. Anunoby,,2,27,45,-18,912.0
8:34.0, ,27-45,P. Achiuwa misses 2-pt jump shot from 16 ft,,2,27,45,-18,926.0
8:30.0,Defensive rebound by A. Thompson,27-45, ,,2,27,45,-18,930.0
8:17.0,Shooting foul by C. Boucher (drawn by A. Thompson),27-45, ,,2,27,45,-18,943.0
8:17.0,A. Thompson misses free throw 1 of 2,27-45, ,,2,27,45,-18,943.0
8:17.0,Offensive rebound by Team,27-45, ,,2,27,45,-18,943.0
8:17.0,J. Wiseman enters the game for A. Burks,27-45, ,,2,27,45,-18,943.0
8:17.0, ,27-45,G. Trent enters the game for G. Dick,,2,27,45,-18,943.0
8:17.0,A. Thompson makes free throw 2 of 2,28-45, ,,2,28,45,-17,943.0
8:02.0, ,28-45,O. Anunoby misses 2-pt jump shot from 3 ft (block by J. Wiseman),,2,28,45,-17,958.0
7:59.0,Defensive rebound by J. Ivey,28-45, ,,2,28,45,-17,961.0
7:55.0,I. Stewart misses 2-pt dunk from 1 ft,28-45, ,,2,28,45,-17,965.0
7:53.0, ,28-45,Defensive rebound by Team,,2,28,45,-17,967.0
7:42.0, ,28-48,S. Barnes makes 3-pt jump shot from 25 ft (assist by P. Achiuwa),,2,28,48,-20,978.0
7:26.0,J. Wiseman makes 2-pt dunk from 1 ft (assist by C. Cunningham),30-48, ,,2,30,48,-18,994.0
7:26.0, ,30-48,Toronto full timeout,,2,30,48,-18,994.0
7:26.0, ,30-48,J. Poeltl enters the game for P. Achiuwa,,2,30,48,-18,994.0
7:26.0, ,30-48,D. Schröder enters the game for S. Barnes,,2,30,48,-18,994.0
7:26.0, ,30-48,P. Siakam enters the game for C. Boucher,,2,30,48,-18,994.0
7:03.0, ,30-48,P. Siakam misses 2-pt jump shot from 17 ft,,2,30,48,-18,1017.0
7:01.0,Defensive rebound by C. Cunningham,30-48, ,,2,30,48,-18,1019.0
6:45.0,C. Cunningham misses 2-pt jump shot from 8 ft,30-48, ,,2,30,48,-18,1035.0
6:41.0, ,30-48,Defensive rebound by O. Anunoby,,2,30,48,-18,1039.0
6:33.0, ,30-48,Shooting foul by J. Wiseman (drawn by J. Poeltl),,2,30,48,-18,1047.0
6:33.0, ,30-49,J. Poeltl makes free throw 1 of 2,,2,30,49,-19,1047.0
6:33.0, ,30-50,J. Poeltl makes free throw 2 of 2,,2,30,50,-20,1047.0
6:15.0,C. Cunningham makes 3-pt jump shot from 26 ft,33-50, ,,2,33,50,-17,1065.0
5:59.0, ,33-50,O. Anunoby misses 3-pt jump shot from 25 ft,,2,33,50,-17,1081.0
5:58.0,Defensive rebound by Team,33-50, ,,2,33,50,-17,1082.0
5:58.0, ,33-50,Loose ball foul by J. Poeltl (drawn by A. Thompson),,2,33,50,-17,1082.0
5:45.0,C. Cunningham makes 2-pt layup from 2 ft,35-50, ,,2,35,50,-15,1095.0
5:31.0, ,35-52,G. Trent makes 2-pt jump shot from 23 ft (assist by D. Schröder),,2,35,52,-17,1109.0
5:19.0,I. Stewart makes 3-pt jump shot from 25 ft (assist by C. Cunningham),38-52, ,,2,38,52,-14,1121.0
5:17.0,Technical foul by I. Stewart,38-52, ,,2,38,52,-14,1123.0
5:17.0, ,38-53,G. Trent makes technical free throw,,2,38,53,-15,1123.0
5:17.0, ,38-53,Instant Replay,,2,38,53,-15,1123.0
5:17.0, ,38-53,M. Flynn enters the game for O. Anunoby,,2,38,53,-15,1123.0
4:58.0, ,38-53,Turnover by J. Poeltl (3 sec),,2,38,53,-15,1142.0
4:43.0,J. Ivey misses 2-pt layup from 6 ft,38-53, ,,2,38,53,-15,1157.0
4:39.0, ,38-53,Defensive rebound by M. Flynn,,2,38,53,-15,1161.0
4:32.0, ,38-55,P. Siakam makes 2-pt jump shot from 8 ft (assist by G. Trent),,2,38,55,-17,1168.0
4:15.0,J. Ivey misses 3-pt jump shot from 29 ft,38-55, ,,2,38,55,-17,1185.0
4:12.0, ,38-55,Defensive rebound by J. Poeltl,,2,38,55,-17,1188.0
4:12.0,A. Burks enters the game for J. Ivey,38-55, ,,2,38,55,-17,1188.0
4:12.0, ,38-55,S. Barnes enters the game for M. Flynn,,2,38,55,-17,1188.0
3:59.0,Jump ball: P. Siakam vs. A. Thompson (G. Trent gains possession),38-55,,,2,38,55,-17,1201.0
3:53.0, ,38-57,J. Poeltl makes 2-pt layup from 3 ft (assist by D. Schröder),,2,38,57,-19,1207.0
3:35.0,Shooting foul by G. Trent (drawn by C. Cunningham),38-57, ,,2,38,57,-19,1225.0
3:35.0,C. Cunningham misses free throw 1 of 2,38-57, ,,2,38,57,-19,1225.0
3:35.0,Offensive rebound by Team,38-57, ,,2,38,57,-19,1225.0
3:35.0,C. Cunningham makes free throw 2 of 2,39-57, ,,2,39,57,-18,1225.0
3:35.0,K. Knox enters the game for I. Stewart,39-57, ,,2,39,57,-18,1225.0
3:24.0, ,39-60,S. Barnes makes 3-pt jump shot from 23 ft (assist by G. Trent),,2,39,60,-21,1236.0
