A,B,C,D,E,F,Event
1st Q
Time,Cleveland,,Score,,Detroit,
12:00.0,Jump ball: J. Allen vs. J. Duren (D. Garland gains possession),
11:36.0,D. Garland misses 2-pt jump shot from 16 ft, ,0-0, , ,
11:34.0, , ,0-0, ,Defensive rebound by A. Thompson,
11:34.0, , ,0-0, ,Personal foul by M. Strus (drawn by A. Thompson),
11:22.0, , ,0-0, ,A. Thompson misses 2-pt jump shot from 15 ft,
11:17.0,Defensive rebound by M. Strus, ,0-0, , ,
11:11.0,I. Okoro makes 2-pt layup at rim (assist by E. Mobley),+2,2-0, , ,
11:00.0, , ,2-0, ,Turnover by C. Cunningham (bad pass; steal by E. Mobley),
10:58.0,Turnover by J. Allen (lost ball; steal by A. Thompson), ,2-0, , ,
10:54.0, , ,2-0, ,Turnover by A. Thompson (bad pass; steal by J. Allen),
10:51.0, , ,2-0, ,Violation by Team (kicked ball),
10:46.0,M. Strus misses 2-pt jump shot from 12 ft, ,2-0, , ,
10:44.0,Offensive rebound by J. Allen, ,2-0, , ,
10:44.0,Shooting foul by J. Duren (drawn by J. Allen), ,2-0, , ,
10:44.0,J. Allen misses free throw 1 of 2, ,2-0, , ,
10:44.0,Offensive rebound by Team, ,2-0, , ,
10:44.0,J. Allen makes free throw 2 of 2,+1,3-0, , ,
10:30.0, , ,3-0, ,J. Ivey misses 3-pt jump shot from 26 ft,
10:24.0,Defensive rebound by E. Mobley, ,3-0, , ,
10:16.0,M. Strus makes 3-pt jump shot from 22 ft (assist by E. Mobley),+3,6-0, , ,
10:05.0, , ,6-0, ,I. Stewart misses 3-pt jump shot from 26 ft,
10:02.0,Defensive rebound by J. Allen, ,6-0, , ,
9:54.0,M. Strus misses 3-pt jump shot from 26 ft, ,6-0, , ,
9:50.0, , ,6-0, ,Defensive rebound by I. Stewart,
9:41.0, , ,6-0, ,J. Ivey misses 3-pt jump shot from 23 ft,
9:37.0,Defensive rebound by J. Allen, ,6-0, , ,
9:28.0,E. Mobley makes 2-pt layup from 6 ft (assist by I. Okoro),+2,8-0, , ,
9:14.0, , ,8-0, ,C. Cunningham misses 2-pt jump shot from 19 ft,
