Time,Chicago,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:53.0,C. White misses 3-pt jump shot from 29 ft,0-0, ,,1,0,0,0,67.0
10:51.0,Offensive rebound by P. Williams,0-0, ,,1,0,0,0,69.0
10:38.0,P. Williams misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,82.0
10:37.0, ,0-0,Defensive rebound by A. Horford,,1,0,0,0,83.0
10:30.0, ,0-3,J. Brown makes 3-pt jump shot from 28 ft (assist by J. Holiday),,1,3,0,3,90.0
10:05.0,P. Williams makes 3-pt jump shot from 23 ft (assist by D. DeRozan),3-3, ,Tie,1,3,3,0,115.0
9:49.0, ,3-3,Turnover by J. Tatum (bad pass; steal by P. Williams),,1,3,3,0,131.0
9:36.0,N. Vučević makes 2-pt layup from 4 ft (assist by D. DeRozan),5-3, ,Lead change,1,3,5,-2,144.0
9:20.0, ,5-5,J. Tatum makes 2-pt layup from 1 ft (assist by A. Horford),Tie,1,5,5,0,160.0
9:01.0,Personal foul by J. Tatum (drawn by N. Vučević),5-5, ,,1,5,5,0,179.0
8:47.0,C. White makes 3-pt jump shot from 22 ft (assist by Z. LaVine),8-5, ,,1,5,8,-3,193.0
8:40.0, ,8-5,Personal foul by Z. LaVine (drawn by J. Brown),,1,5,8,-3,200.0
8:31.0, ,8-8,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. White),Tie,1,8,8,0,209.0
8:17.0,D. DeRozan misses 2-pt jump shot from 13 ft,8-8, ,,1,8,8,0,223.0
8:16.0, ,8-8,Defensive rebound by J. Brown,,1,8,8,0,224.0
8:10.0, ,8-8,J. Brown misses 3-pt jump shot from 27 ft,,1,8,8,0,230.0
8:09.0,Defensive rebound by D. DeRozan,8-8, ,,1,8,8,0,231.0
7:51.0,N. Vučević makes 2-pt jump shot from 7 ft (assist by C. White),10-8, ,,1,8,10,-2,249.0
7:31.0, ,10-8,J. Tatum misses 3-pt jump shot from 29 ft,,1,8,10,-2,269.0
7:29.0,Defensive rebound by D. DeRozan,10-8, ,,1,8,10,-2,271.0
7:16.0,C. White misses 3-pt jump shot from 25 ft,10-8, ,,1,8,10,-2,284.0
7:13.0, ,10-8,Defensive rebound by J. Brown,,1,8,10,-2,287.0
7:09.0, ,10-8,J. Brown misses 2-pt layup from 3 ft,,1,8,10,-2,291.0
7:08.0, ,10-8,Offensive rebound by J. Holiday,,1,8,10,-2,292.0
7:07.0, ,10-10,J. Holiday makes 2-pt layup from 4 ft,Tie,1,10,10,0,293.0
6:57.0,N. Vučević misses 2-pt jump shot from 17 ft,10-10, ,,1,10,10,0,303.0
6:57.0, ,10-10,Defensive rebound by J. Holiday,,1,10,10,0,303.0
6:43.0, ,10-13,J. Brown makes 3-pt jump shot from 25 ft (assist by A. Horford),Lead change,1,13,10,3,317.0
6:28.0,Z. LaVine misses 2-pt layup from 3 ft (block by A. Horford),10-13, ,,1,13,10,3,332.0
6:27.0,Offensive rebound by Z. LaVine,10-13, ,,1,13,10,3,333.0
6:24.0,D. DeRozan makes 3-pt jump shot from 26 ft (assist by P. Williams),13-13, ,Tie,1,13,13,0,336.0
6:22.0, ,13-13,Boston full timeout,,1,13,13,0,338.0
6:22.0,A. Dosunmu enters the game for C. White,13-13, ,,1,13,13,0,338.0
6:22.0, ,13-13,D. Banton enters the game for J. Tatum,,1,13,13,0,338.0
6:22.0, ,13-13,S. Hauser enters the game for D. White,,1,13,13,0,338.0
6:07.0, ,13-13,S. Hauser misses 3-pt jump shot from 27 ft,,1,13,13,0,353.0
6:05.0, ,13-13,Offensive rebound by J. Brown,,1,13,13,0,355.0
6:02.0, ,13-13,Turnover by J. Brown (lost ball; steal by Z. LaVine),,1,13,13,0,358.0
5:54.0,N. Vučević misses 3-pt jump shot from 27 ft,13-13, ,,1,13,13,0,366.0
5:52.0, ,13-13,Defensive rebound by A. Horford,,1,13,13,0,368.0
5:47.0, ,13-13,Turnover by J. Holiday (bad pass; steal by N. Vučević),,1,13,13,0,373.0
5:40.0,Z. LaVine misses 2-pt jump shot from 23 ft,13-13, ,,1,13,13,0,380.0
5:38.0, ,13-13,Defensive rebound by S. Hauser,,1,13,13,0,382.0
5:23.0, ,13-16,J. Brown makes 3-pt jump shot from 28 ft (assist by J. Holiday),,1,16,13,3,397.0
4:59.0,N. Vučević misses 2-pt hook shot from 9 ft,13-16, ,,1,16,13,3,421.0
4:57.0, ,13-16,Defensive rebound by J. Brown,,1,16,13,3,423.0
4:45.0, ,13-19,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Holiday),,1,19,13,6,435.0
4:45.0,Chicago full timeout,13-19, ,,1,19,13,6,435.0
4:45.0,A. Caruso enters the game for D. DeRozan,13-19, ,,1,19,13,6,435.0
4:45.0, ,13-19,P. Pritchard enters the game for J. Holiday,,1,19,13,6,435.0
4:27.0,A. Dosunmu misses 2-pt jump shot from 8 ft,13-19, ,,1,19,13,6,453.0
4:26.0, ,13-19,Defensive rebound by A. Horford,,1,19,13,6,454.0
4:13.0, ,13-19,J. Brown misses 3-pt jump shot from 25 ft,,1,19,13,6,467.0
4:12.0,Defensive rebound by N. Vučević,13-19, ,,1,19,13,6,468.0
4:07.0,A. Caruso misses 2-pt layup from 5 ft (block by D. Banton),13-19, ,,1,19,13,6,473.0
4:06.0,Offensive rebound by Team,13-19, ,,1,19,13,6,474.0
4:06.0,T. Craig enters the game for P. Williams,13-19, ,,1,19,13,6,474.0
4:06.0, ,13-19,L. Kornet enters the game for A. Horford,,1,19,13,6,474.0
3:57.0,Z. LaVine misses 2-pt jump shot from 18 ft,13-19, ,,1,19,13,6,483.0
3:56.0, ,13-19,Defensive rebound by S. Hauser,,1,19,13,6,484.0
3:45.0, ,13-22,P. Pritchard makes 3-pt jump shot from 29 ft (assist by J. Brown),,1,22,13,9,495.0
3:23.0,A. Caruso misses 3-pt jump shot from 27 ft,13-22, ,,1,22,13,9,517.0
3:21.0, ,13-22,Defensive rebound by P. Pritchard,,1,22,13,9,519.0
3:11.0, ,13-22,D. Banton misses 3-pt jump shot from 28 ft,,1,22,13,9,529.0
3:10.0, ,13-22,Offensive rebound by L. Kornet,,1,22,13,9,530.0
3:10.0,D. DeRozan enters the game for Z. LaVine,13-22, ,,1,22,13,9,530.0
3:10.0,A. Drummond enters the game for N. Vučević,13-22, ,,1,22,13,9,530.0
3:10.0, ,13-22,J. Tatum enters the game for J. Brown,,1,22,13,9,530.0
3:06.0, ,13-25,S. Hauser makes 3-pt jump shot from 25 ft (assist by J. Tatum),,1,25,13,12,534.0
2:39.0,A. Caruso makes 3-pt jump shot from 27 ft (assist by D. DeRozan),16-25, ,,1,25,16,9,561.0
2:16.0, ,16-25,S. Hauser misses 3-pt jump shot from 27 ft,,1,25,16,9,584.0
2:15.0,Defensive rebound by A. Drummond,16-25, ,,1,25,16,9,585.0
1:59.0,A. Dosunmu misses 2-pt layup from 6 ft (block by L. Kornet),16-25, ,,1,25,16,9,601.0
1:57.0,Offensive rebound by A. Caruso,16-25, ,,1,25,16,9,603.0
1:53.0,A. Drummond makes 2-pt layup from 2 ft (assist by A. Caruso),18-25, ,,1,25,18,7,607.0
1:33.0, ,18-28,P. Pritchard makes 3-pt jump shot from 29 ft (assist by S. Hauser),,1,28,18,10,627.0
1:12.0,Personal foul by D. Banton (drawn by A. Dosunmu),18-28, ,,1,28,18,10,648.0
1:12.0,C. White enters the game for A. Dosunmu,18-28, ,,1,28,18,10,648.0
1:02.0,D. DeRozan makes 2-pt jump shot from 14 ft,20-28, ,,1,28,20,8,658.0
0:43.0, ,20-28,P. Pritchard misses 2-pt jump shot from 23 ft,,1,28,20,8,677.0
0:40.0,Defensive rebound by A. Drummond,20-28, ,,1,28,20,8,680.0
0:22.0,A. Caruso misses 3-pt jump shot from 23 ft,20-28, ,,1,28,20,8,698.0
0:21.0,Offensive rebound by A. Drummond,20-28, ,,1,28,20,8,699.0
0:20.0,A. Drummond misses 2-pt layup from 7 ft,20-28, ,,1,28,20,8,700.0
0:19.0, ,20-28,Defensive rebound by J. Tatum,,1,28,20,8,701.0
0:02.0, ,20-30,J. Tatum makes 2-pt jump shot from 4 ft,,1,30,20,10,718.0
0:02.0, ,20-30,Shooting foul by A. Caruso (drawn by J. Tatum),,1,30,20,10,718.0
0:02.0, ,20-30,D. White enters the game for L. Kornet,,1,30,20,10,718.0
0:02.0, ,20-31,J. Tatum makes free throw 1 of 1,,1,31,20,11,718.0
0:00.0,End of 1st quarter,20-31,,,1,31,20,11,720.0
12:00.0,Start of 2nd quarter,20-31,,,2,31,20,11,720.0
11:43.0, ,20-31,S. Hauser misses 3-pt jump shot from 24 ft,,2,31,20,11,737.0
11:42.0, ,20-31,Offensive rebound by L. Kornet,,2,31,20,11,738.0
11:40.0, ,20-31,Turnover by L. Kornet (lost ball; steal by T. Craig),,2,31,20,11,740.0
11:27.0,D. DeRozan misses 2-pt jump shot from 4 ft,20-31, ,,2,31,20,11,753.0
11:25.0, ,20-31,Defensive rebound by S. Hauser,,2,31,20,11,755.0
11:17.0, ,20-33,L. Kornet makes 2-pt layup from 3 ft (assist by D. White),,2,33,20,13,763.0
10:58.0,D. DeRozan misses 2-pt jump shot from 16 ft,20-33, ,,2,33,20,13,782.0
10:57.0, ,20-33,Defensive rebound by P. Pritchard,,2,33,20,13,783.0
10:47.0, ,20-35,L. Kornet makes 2-pt dunk from 3 ft (assist by D. White),,2,35,20,15,793.0
10:47.0,Chicago full timeout,20-35, ,,2,35,20,15,793.0
10:47.0,J. Carter enters the game for A. Caruso,20-35, ,,2,35,20,15,793.0
10:32.0,D. DeRozan makes 2-pt layup from 5 ft,22-35, ,,2,35,22,13,808.0
10:32.0,Shooting foul by L. Kornet (drawn by D. DeRozan),22-35, ,,2,35,22,13,808.0
10:32.0,P. Williams enters the game for T. Craig,22-35, ,,2,35,22,13,808.0
10:32.0,D. DeRozan makes free throw 1 of 1,23-35, ,,2,35,23,12,808.0
10:16.0, ,23-37,J. Tatum makes 2-pt jump shot from 18 ft (assist by D. White),,2,37,23,14,824.0
10:00.0,C. White makes 3-pt jump shot from 26 ft (assist by D. DeRozan),26-37, ,,2,37,26,11,840.0
9:43.0, ,26-37,J. Tatum misses 3-pt jump shot from 26 ft,,2,37,26,11,857.0
9:42.0, ,26-37,Offensive rebound by Team,,2,37,26,11,858.0
9:42.0,Loose ball foul by D. DeRozan (drawn by L. Kornet),26-37, ,,2,37,26,11,858.0
9:31.0, ,26-39,D. White makes 2-pt dunk from 1 ft (assist by J. Tatum),,2,39,26,13,869.0
9:18.0,Turnover by P. Williams (out of bounds lost ball),26-39, ,,2,39,26,13,882.0
9:18.0,Z. LaVine enters the game for D. DeRozan,26-39, ,,2,39,26,13,882.0
9:01.0, ,26-39,S. Hauser misses 3-pt jump shot from 27 ft,,2,39,26,13,899.0
9:00.0, ,26-39,Offensive rebound by J. Tatum,,2,39,26,13,900.0
8:59.0, ,26-41,J. Tatum makes 2-pt layup from 4 ft,,2,41,26,15,901.0
8:43.0,C. White misses 2-pt jump shot from 18 ft,26-41, ,,2,41,26,15,917.0
8:42.0,Offensive rebound by P. Williams,26-41, ,,2,41,26,15,918.0
8:42.0,P. Williams makes 2-pt dunk at rim,28-41, ,,2,41,28,13,918.0
8:28.0, ,28-43,D. White makes 2-pt jump shot from 5 ft,,2,43,28,15,932.0
8:15.0,A. Drummond misses 2-pt hook shot from 6 ft,28-43, ,,2,43,28,15,945.0
8:14.0,Offensive rebound by P. Williams,28-43, ,,2,43,28,15,946.0
8:14.0,Shooting foul by J. Tatum (drawn by P. Williams),28-43, ,,2,43,28,15,946.0
8:14.0,P. Williams makes free throw 1 of 2,29-43, ,,2,43,29,14,946.0
8:14.0,N. Vučević enters the game for A. Drummond,29-43, ,,2,43,29,14,946.0
8:14.0, ,29-43,J. Brown enters the game for S. Hauser,,2,43,29,14,946.0
8:14.0, ,29-43,J. Holiday enters the game for J. Tatum,,2,43,29,14,946.0
8:14.0,P. Williams misses free throw 2 of 2,29-43, ,,2,43,29,14,946.0
8:14.0, ,29-43,Defensive rebound by Team,,2,43,29,14,946.0
7:56.0, ,29-46,J. Holiday makes 3-pt jump shot from 28 ft (assist by J. Brown),,2,46,29,17,964.0
7:40.0,Turnover by N. Vučević (bad pass),29-46, ,,2,46,29,17,980.0
7:40.0, ,29-46,D. Banton enters the game for L. Kornet,,2,46,29,17,980.0
7:40.0, ,29-46,A. Horford enters the game for D. White,,2,46,29,17,980.0
7:25.0, ,29-48,J. Brown makes 2-pt dunk from 3 ft (assist by A. Horford),,2,48,29,19,995.0
7:14.0,P. Williams makes 2-pt dunk from 2 ft (assist by Z. LaVine),31-48, ,,2,48,31,17,1006.0
6:55.0, ,31-48,Shooting foul by P. Williams (drawn by J. Brown),,2,48,31,17,1025.0
6:55.0, ,31-48,J. Brown misses free throw 1 of 2,,2,48,31,17,1025.0
6:55.0, ,31-48,Offensive rebound by Team,,2,48,31,17,1025.0
6:55.0,A. Dosunmu enters the game for J. Carter,31-48, ,,2,48,31,17,1025.0
6:55.0, ,31-49,J. Brown makes free throw 2 of 2,,2,49,31,18,1025.0
6:38.0,P. Williams misses 2-pt jump shot from 8 ft (block by A. Horford),31-49, ,,2,49,31,18,1042.0
6:37.0,Offensive rebound by Team,31-49, ,,2,49,31,18,1043.0
6:37.0,D. DeRozan enters the game for C. White,31-49, ,,2,49,31,18,1043.0
6:33.0,D. DeRozan misses 3-pt jump shot from 28 ft,31-49, ,,2,49,31,18,1047.0
