Time,Charlotte,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Bolden vs. L. Kornet (S. Mykhailiuk gains possession),0-0,,,1,0,0,0,0.0
11:46.0, ,0-0,S. Mykhailiuk misses 3-pt jump shot from 27 ft,,1,0,0,0,14.0
11:42.0,Defensive rebound by V. Micić,0-0, ,,1,0,0,0,18.0
11:32.0,B. Miller misses 2-pt jump shot from 22 ft,0-0, ,,1,0,0,0,28.0
11:30.0, ,0-0,Defensive rebound by L. Kornet,,1,0,0,0,30.0
11:17.0, ,0-0,S. Hauser misses 3-pt jump shot from 26 ft,,1,0,0,0,43.0
11:14.0,Defensive rebound by M. Bolden,0-0, ,,1,0,0,0,46.0
11:00.0,V. Micić makes 3-pt jump shot from 26 ft (assist by M. Bolden),3-0, ,,1,0,3,-3,60.0
10:43.0, ,3-2,L. Kornet makes 2-pt layup from 2 ft (assist by P. Pritchard),,1,2,3,-1,77.0
10:23.0,T. Mann makes 3-pt jump shot from 25 ft (assist by M. Bolden),6-2, ,,1,2,6,-4,97.0
10:11.0, ,6-4,P. Pritchard makes 2-pt jump shot from 13 ft,,1,4,6,-2,109.0
9:54.0,Personal foul by S. Mykhailiuk (drawn by V. Micić),6-4, ,,1,4,6,-2,126.0
9:47.0,B. Miller misses 3-pt jump shot from 28 ft,6-4, ,,1,4,6,-2,133.0
9:45.0, ,6-4,Defensive rebound by J. Springer,,1,4,6,-2,135.0
9:37.0, ,6-4,J. Springer misses 2-pt layup from 5 ft (block by M. Bolden),,1,4,6,-2,143.0
9:34.0,Defensive rebound by B. Miller,6-4, ,,1,4,6,-2,146.0
9:27.0,V. Micić makes 2-pt layup from 1 ft (assist by T. Mann),8-4, ,,1,4,8,-4,153.0
9:10.0, ,8-7,P. Pritchard makes 3-pt jump shot from 26 ft (assist by S. Hauser),,1,7,8,-1,170.0
8:46.0,T. Mann misses 3-pt jump shot from 26 ft,8-7, ,,1,7,8,-1,194.0
8:43.0, ,8-7,Defensive rebound by J. Springer,,1,7,8,-1,197.0
8:34.0, ,8-7,Turnover by P. Pritchard (bad pass; steal by M. Bolden),,1,7,8,-1,206.0
8:26.0,Turnover by V. Micić (bad pass),8-7, ,,1,7,8,-1,214.0
8:13.0, ,8-7,Personal foul by V. Micić (drawn by J. Springer),,1,7,8,-1,227.0
8:06.0, ,8-9,P. Pritchard makes 2-pt layup from 3 ft,Lead change,1,9,8,1,234.0
7:45.0,M. Bolden misses 2-pt hook shot from 11 ft,8-9, ,,1,9,8,1,255.0
7:44.0, ,8-9,Defensive rebound by S. Hauser,,1,9,8,1,256.0
7:32.0, ,8-9,P. Pritchard misses 2-pt layup from 3 ft,,1,9,8,1,268.0
7:29.0, ,8-9,Offensive rebound by L. Kornet,,1,9,8,1,271.0
7:29.0, ,8-11,L. Kornet makes 2-pt dunk at rim,,1,11,8,3,271.0
7:16.0,Shooting foul by L. Kornet (drawn by B. Miller),8-11, ,,1,11,8,3,284.0
7:16.0,B. Miller makes free throw 1 of 2,9-11, ,,1,11,9,2,284.0
7:16.0,B. Miller makes free throw 2 of 2,10-11, ,,1,11,10,1,284.0
6:58.0, ,10-13,J. Springer makes 2-pt jump shot from 6 ft,,1,13,10,3,302.0
6:46.0,Offensive foul by M. Bolden (drawn by S. Mykhailiuk),10-13, ,,1,13,10,3,314.0
6:46.0,Turnover by M. Bolden (offensive foul),10-13, ,,1,13,10,3,314.0
6:46.0, ,10-13,Boston full timeout,,1,13,10,3,314.0
6:40.0, ,10-13,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,1,13,10,3,320.0
6:38.0,Defensive rebound by M. Bridges,10-13, ,,1,13,10,3,322.0
6:24.0,M. Bridges makes 2-pt jump shot from 22 ft,12-13, ,,1,13,12,1,336.0
6:08.0, ,12-13,S. Hauser misses 3-pt jump shot from 27 ft,,1,13,12,1,352.0
6:06.0,Defensive rebound by T. Mann,12-13, ,,1,13,12,1,354.0
6:01.0,B. Miller makes 2-pt dunk from 1 ft (assist by V. Micić),14-13, ,Lead change,1,13,14,-1,359.0
5:44.0, ,14-15,L. Kornet makes 2-pt layup from 2 ft (assist by P. Pritchard),Lead change,1,15,14,1,376.0
5:27.0,M. Bridges makes 2-pt hook shot from 5 ft (assist by V. Micić),16-15, ,Lead change,1,15,16,-1,393.0
5:17.0, ,16-17,P. Pritchard makes 2-pt jump shot from 14 ft,Lead change,1,17,16,1,403.0
5:00.0,Turnover by V. Micić (bad pass; steal by S. Mykhailiuk),16-17, ,,1,17,16,1,420.0
4:55.0, ,16-17,L. Kornet misses 2-pt layup from 6 ft (block by M. Bolden),,1,17,16,1,425.0
4:55.0,Defensive rebound by Team,16-17, ,,1,17,16,1,425.0
4:55.0,N. Smith enters the game for M. Bridges,16-17, ,,1,17,16,1,425.0
4:55.0,J. Thor enters the game for T. Mann,16-17, ,,1,17,16,1,425.0
4:55.0, ,16-17,O. Brissett enters the game for S. Mykhailiuk,,1,17,16,1,425.0
4:55.0, ,16-17,J. Walsh enters the game for J. Springer,,1,17,16,1,425.0
4:41.0,B. Miller makes 3-pt jump shot from 26 ft (assist by V. Micić),19-17, ,Lead change,1,17,19,-2,439.0
4:28.0, ,19-19,P. Pritchard makes 2-pt layup from 4 ft,Tie,1,19,19,0,452.0
4:22.0,Personal foul by J. Walsh (drawn by V. Micić),19-19, ,,1,19,19,0,458.0
4:08.0,J. Thor misses 2-pt jump shot from 4 ft,19-19, ,,1,19,19,0,472.0
4:06.0, ,19-19,Defensive rebound by L. Kornet,,1,19,19,0,474.0
3:58.0, ,19-19,O. Brissett misses 2-pt layup from 3 ft,,1,19,19,0,482.0
3:57.0, ,19-19,Offensive rebound by O. Brissett,,1,19,19,0,483.0
3:55.0, ,19-19,O. Brissett misses 2-pt layup from 9 ft,,1,19,19,0,485.0
3:52.0, ,19-19,Offensive rebound by L. Kornet,,1,19,19,0,488.0
3:52.0, ,19-21,L. Kornet makes 2-pt dunk at rim,Lead change,1,21,19,2,488.0
3:35.0,Turnover by N. Smith (bad pass; steal by O. Brissett),19-21, ,,1,21,19,2,505.0
3:30.0, ,19-23,L. Kornet makes 2-pt layup from 3 ft (assist by P. Pritchard),,1,23,19,4,510.0
3:29.0,Charlotte full timeout,19-23, ,,1,23,19,4,511.0
3:29.0,D. Bertāns enters the game for M. Bolden,19-23, ,,1,23,19,4,511.0
3:29.0,A. Pokusevski enters the game for B. Miller,19-23, ,,1,23,19,4,511.0
3:29.0, ,19-23,S. Mykhailiuk enters the game for S. Hauser,,1,23,19,4,511.0
3:29.0, ,19-23,X. Tillman enters the game for L. Kornet,,1,23,19,4,511.0
3:18.0,D. Bertāns misses 3-pt jump shot from 25 ft,19-23, ,,1,23,19,4,522.0
3:15.0, ,19-23,Defensive rebound by O. Brissett,,1,23,19,4,525.0
2:57.0, ,19-23,S. Mykhailiuk misses 2-pt layup from 1 ft (block by A. Pokusevski),,1,23,19,4,543.0
2:54.0, ,19-23,Offensive rebound by X. Tillman,,1,23,19,4,546.0
2:53.0, ,19-23,X. Tillman misses 2-pt hook shot from 3 ft,,1,23,19,4,547.0
2:51.0,Defensive rebound by J. Thor,19-23, ,,1,23,19,4,549.0
2:41.0,V. Micić misses 3-pt jump shot from 27 ft,19-23, ,,1,23,19,4,559.0
2:39.0, ,19-23,Defensive rebound by O. Brissett,,1,23,19,4,561.0
2:29.0, ,19-23,Personal foul by N. Smith (drawn by P. Pritchard),,1,23,19,4,571.0
2:29.0,T. Mann enters the game for V. Micić,19-23, ,,1,23,19,4,571.0
2:23.0, ,19-23,P. Pritchard misses 3-pt jump shot from 28 ft,,1,23,19,4,577.0
2:22.0,Defensive rebound by Team,19-23, ,,1,23,19,4,578.0
2:04.0,A. Pokusevski misses 3-pt jump shot from 26 ft,19-23, ,,1,23,19,4,596.0
2:00.0, ,19-23,Defensive rebound by X. Tillman,,1,23,19,4,600.0
1:50.0, ,19-26,J. Walsh makes 3-pt jump shot from 26 ft (assist by P. Pritchard),,1,26,19,7,610.0
1:38.0,A. Pokusevski misses 2-pt jump shot from 18 ft,19-26, ,,1,26,19,7,622.0
1:35.0, ,19-26,Defensive rebound by P. Pritchard,,1,26,19,7,625.0
1:24.0, ,19-28,O. Brissett makes 2-pt layup from 4 ft (assist by P. Pritchard),,1,28,19,9,636.0
1:09.0,T. Mann makes 2-pt jump shot from 20 ft,21-28, ,,1,28,21,7,651.0
0:59.0, ,21-30,P. Pritchard makes 2-pt jump shot from 12 ft,,1,30,21,9,661.0
0:48.0,A. Pokusevski makes 3-pt jump shot from 28 ft (assist by T. Mann),24-30, ,,1,30,24,6,672.0
0:32.0, ,24-30,P. Pritchard misses 3-pt jump shot from 26 ft,,1,30,24,6,688.0
0:29.0, ,24-30,Offensive rebound by J. Walsh,,1,30,24,6,691.0
0:18.0, ,24-30,P. Pritchard misses 3-pt jump shot from 25 ft,,1,30,24,6,702.0
0:18.0,Defensive rebound by A. Pokusevski,24-30, ,,1,30,24,6,702.0
0:07.0,Personal take foul by O. Brissett (drawn by T. Mann),24-30, ,,1,30,24,6,713.0
0:03.0,A. Pokusevski misses 2-pt jump shot from 16 ft,24-30, ,,1,30,24,6,717.0
0:03.0, ,24-30,Defensive rebound by J. Walsh,,1,30,24,6,717.0
0:00.0,End of 1st quarter,24-30,,,1,30,24,6,720.0
12:00.0,Start of 2nd quarter,24-30,,,2,30,24,6,720.0
11:39.0,A. Pokusevski misses 2-pt jump shot from 11 ft,24-30, ,,2,30,24,6,741.0
11:36.0, ,24-30,Defensive rebound by X. Tillman,,2,30,24,6,744.0
11:25.0, ,24-30,Offensive foul by X. Tillman (drawn by T. Mann),,2,30,24,6,755.0
11:25.0, ,24-30,Turnover by X. Tillman (offensive foul),,2,30,24,6,755.0
11:19.0,Offensive foul by D. Bertāns (drawn by J. Walsh),24-30, ,,2,30,24,6,761.0
11:19.0,Turnover by D. Bertāns (offensive foul),24-30, ,,2,30,24,6,761.0
11:07.0, ,24-30,J. Davison misses 3-pt jump shot from 26 ft,,2,30,24,6,773.0
11:06.0,Defensive rebound by Team,24-30, ,,2,30,24,6,774.0
10:55.0,T. Mann misses 2-pt layup from 3 ft,24-30, ,,2,30,24,6,785.0
10:53.0,Offensive rebound by A. Pokusevski,24-30, ,,2,30,24,6,787.0
10:53.0,A. Pokusevski makes 2-pt dunk at rim,26-30, ,,2,30,26,4,787.0
10:43.0, ,26-32,S. Hauser makes 2-pt jump shot from 16 ft (assist by O. Brissett),,2,32,26,6,797.0
10:30.0,D. Bertāns makes 3-pt jump shot from 29 ft (assist by T. Mann),29-32, ,,2,32,29,3,810.0
10:08.0, ,29-32,S. Hauser misses 3-pt jump shot from 27 ft,,2,32,29,3,832.0
10:05.0, ,29-32,Offensive rebound by J. Davison,,2,32,29,3,835.0
10:04.0, ,29-32,S. Hauser misses 3-pt jump shot from 26 ft,,2,32,29,3,836.0
10:02.0, ,29-32,Offensive rebound by O. Brissett,,2,32,29,3,838.0
10:00.0, ,29-34,O. Brissett makes 2-pt layup from 3 ft,,2,34,29,5,840.0
9:42.0,Turnover by T. Mann (bad pass; steal by X. Tillman),29-34, ,,2,34,29,5,858.0
9:35.0, ,29-34,Shooting foul by A. Pokusevski (drawn by O. Brissett),,2,34,29,5,865.0
9:35.0, ,29-34,O. Brissett misses free throw 1 of 2,,2,34,29,5,865.0
9:35.0, ,29-34,Offensive rebound by Team,,2,34,29,5,865.0
9:35.0, ,29-34,N. Queta enters the game for X. Tillman,,2,34,29,5,865.0
9:35.0, ,29-34,O. Brissett misses free throw 2 of 2,,2,34,29,5,865.0
9:35.0,Defensive rebound by A. Pokusevski,29-34, ,,2,34,29,5,865.0
9:20.0,J. Thor makes 3-pt jump shot from 24 ft (assist by N. Smith),32-34, ,,2,34,32,2,880.0
9:03.0, ,32-34,Shooting foul by J. Thor (drawn by O. Brissett),,2,34,32,2,897.0
9:03.0, ,32-34,O. Brissett misses free throw 1 of 3,,2,34,32,2,897.0
9:03.0, ,32-34,Offensive rebound by Team,,2,34,32,2,897.0
9:03.0, ,32-35,O. Brissett makes free throw 2 of 3,,2,35,32,3,897.0
9:03.0, ,32-36,O. Brissett makes free throw 3 of 3,,2,36,32,4,897.0
8:50.0,N. Smith misses 2-pt jump shot from 8 ft,32-36, ,,2,36,32,4,910.0
8:48.0, ,32-36,Defensive rebound by O. Brissett,,2,36,32,4,912.0
